Model Name	LI-180
Serial Number	A21M0027
Time	2025/02/10_16:09:13
Memo	
PFD	426,629517
PPFD	421,912079
PFD-UV	0,334434
PFD-B	172,896545
PFD-G	70,989006
PFD-R	178,026550
PFD-FR	4,383038
PFD-B:G ratio	2,435540
PFD-R:FR ratio	40,617165
PFD-Custom(380~780nm)	426,629456
LambdaP(nm)	441
LambdaPValue(mW/m^2)	1846,218140
LambdaD(nm)	380
LUX(lx)	12847,8125
IRR(W/m^2)	95,493362
fc	1194,034668
I-Time(ms)	6
380nm(mW/m^2)	6,162862
381nm(mW/m^2)	6,695961
382nm(mW/m^2)	5,577596
383nm(mW/m^2)	4,292009
384nm(mW/m^2)	4,345229
385nm(mW/m^2)	4,457597
386nm(mW/m^2)	4,961668
387nm(mW/m^2)	5,231374
388nm(mW/m^2)	4,791644
389nm(mW/m^2)	4,590857
390nm(mW/m^2)	4,804142
391nm(mW/m^2)	4,741661
392nm(mW/m^2)	4,385158
393nm(mW/m^2)	4,465131
394nm(mW/m^2)	4,833024
395nm(mW/m^2)	4,661117
396nm(mW/m^2)	4,281002
397nm(mW/m^2)	5,117456
398nm(mW/m^2)	6,183334
399nm(mW/m^2)	7,066175
400nm(mW/m^2)	7,935556
401nm(mW/m^2)	8,736567
402nm(mW/m^2)	9,683825
403nm(mW/m^2)	11,202768
404nm(mW/m^2)	12,994319
405nm(mW/m^2)	15,350217
406nm(mW/m^2)	17,989223
407nm(mW/m^2)	20,976553
408nm(mW/m^2)	24,746035
409nm(mW/m^2)	29,101589
410nm(mW/m^2)	35,222054
411nm(mW/m^2)	42,114571
412nm(mW/m^2)	51,212158
413nm(mW/m^2)	60,792763
414nm(mW/m^2)	73,326424
415nm(mW/m^2)	86,347153
416nm(mW/m^2)	103,474884
417nm(mW/m^2)	121,681206
418nm(mW/m^2)	144,241394
419nm(mW/m^2)	168,745850
420nm(mW/m^2)	197,266968
421nm(mW/m^2)	229,305450
422nm(mW/m^2)	265,565094
423nm(mW/m^2)	307,158112
424nm(mW/m^2)	352,554810
425nm(mW/m^2)	406,297089
426nm(mW/m^2)	463,387970
427nm(mW/m^2)	531,291260
428nm(mW/m^2)	601,187134
429nm(mW/m^2)	689,947327
430nm(mW/m^2)	780,966675
431nm(mW/m^2)	886,741455
432nm(mW/m^2)	996,328735
433nm(mW/m^2)	1117,863281
434nm(mW/m^2)	1241,453491
435nm(mW/m^2)	1368,453247
436nm(mW/m^2)	1488,337158
437nm(mW/m^2)	1601,420532
438nm(mW/m^2)	1694,002808
439nm(mW/m^2)	1775,300903
440nm(mW/m^2)	1816,454224
441nm(mW/m^2)	1846,218140
442nm(mW/m^2)	1828,680420
443nm(mW/m^2)	1804,370728
444nm(mW/m^2)	1735,948853
445nm(mW/m^2)	1661,582764
446nm(mW/m^2)	1561,354614
447nm(mW/m^2)	1456,952759
448nm(mW/m^2)	1343,875732
449nm(mW/m^2)	1231,626953
450nm(mW/m^2)	1120,335693
451nm(mW/m^2)	1018,338806
452nm(mW/m^2)	922,440796
453nm(mW/m^2)	838,828430
454nm(mW/m^2)	759,426086
455nm(mW/m^2)	693,088379
456nm(mW/m^2)	628,714722
457nm(mW/m^2)	573,961182
458nm(mW/m^2)	520,536621
459nm(mW/m^2)	473,405975
460nm(mW/m^2)	427,712250
461nm(mW/m^2)	385,075836
462nm(mW/m^2)	345,313934
463nm(mW/m^2)	308,843170
464nm(mW/m^2)	276,144806
465nm(mW/m^2)	245,819122
466nm(mW/m^2)	220,522751
467nm(mW/m^2)	196,791458
468nm(mW/m^2)	177,724854
469nm(mW/m^2)	159,326950
470nm(mW/m^2)	144,192657
471nm(mW/m^2)	129,905228
472nm(mW/m^2)	118,690453
473nm(mW/m^2)	108,056793
474nm(mW/m^2)	98,414551
475nm(mW/m^2)	89,747063
476nm(mW/m^2)	81,963997
477nm(mW/m^2)	74,987396
478nm(mW/m^2)	68,389900
479nm(mW/m^2)	63,197815
480nm(mW/m^2)	58,278507
481nm(mW/m^2)	54,494354
482nm(mW/m^2)	50,900257
483nm(mW/m^2)	48,311474
484nm(mW/m^2)	46,120731
485nm(mW/m^2)	44,788509
486nm(mW/m^2)	43,942425
487nm(mW/m^2)	43,624966
488nm(mW/m^2)	43,191471
489nm(mW/m^2)	42,693470
490nm(mW/m^2)	43,202282
491nm(mW/m^2)	43,950829
492nm(mW/m^2)	45,438622
493nm(mW/m^2)	46,965168
494nm(mW/m^2)	48,607014
495nm(mW/m^2)	50,533127
496nm(mW/m^2)	53,090008
497nm(mW/m^2)	56,052059
498nm(mW/m^2)	59,451157
499nm(mW/m^2)	62,811848
500nm(mW/m^2)	66,152130
501nm(mW/m^2)	69,719795
502nm(mW/m^2)	73,335724
503nm(mW/m^2)	77,501755
504nm(mW/m^2)	81,640327
505nm(mW/m^2)	85,650986
506nm(mW/m^2)	89,785126
507nm(mW/m^2)	94,144409
508nm(mW/m^2)	98,731712
509nm(mW/m^2)	103,518677
510nm(mW/m^2)	108,305771
511nm(mW/m^2)	113,092918
512nm(mW/m^2)	117,227760
513nm(mW/m^2)	121,274475
514nm(mW/m^2)	125,181030
515nm(mW/m^2)	128,932587
516nm(mW/m^2)	132,251129
517nm(mW/m^2)	135,835739
518nm(mW/m^2)	139,745529
519nm(mW/m^2)	143,370453
520nm(mW/m^2)	146,833664
521nm(mW/m^2)	149,819778
522nm(mW/m^2)	152,692703
523nm(mW/m^2)	154,833405
524nm(mW/m^2)	157,014664
525nm(mW/m^2)	159,347794
526nm(mW/m^2)	161,688049
527nm(mW/m^2)	164,038788
528nm(mW/m^2)	165,770264
529nm(mW/m^2)	167,090012
530nm(mW/m^2)	168,657379
531nm(mW/m^2)	170,287491
532nm(mW/m^2)	171,459183
533nm(mW/m^2)	172,657578
534nm(mW/m^2)	173,970779
535nm(mW/m^2)	175,060715
536nm(mW/m^2)	175,814789
537nm(mW/m^2)	176,663223
538nm(mW/m^2)	177,573792
539nm(mW/m^2)	177,800888
540nm(mW/m^2)	177,877701
541nm(mW/m^2)	178,698013
542nm(mW/m^2)	179,208313
543nm(mW/m^2)	178,646149
544nm(mW/m^2)	178,611801
545nm(mW/m^2)	179,264175
546nm(mW/m^2)	179,263046
547nm(mW/m^2)	178,904846
548nm(mW/m^2)	179,004608
549nm(mW/m^2)	179,137390
550nm(mW/m^2)	178,773804
551nm(mW/m^2)	178,481216
552nm(mW/m^2)	178,358994
553nm(mW/m^2)	178,129761
554nm(mW/m^2)	177,799042
555nm(mW/m^2)	177,332977
556nm(mW/m^2)	176,817947
557nm(mW/m^2)	176,525467
558nm(mW/m^2)	176,201019
559nm(mW/m^2)	175,687805
560nm(mW/m^2)	175,211594
561nm(mW/m^2)	174,789047
562nm(mW/m^2)	174,480469
563nm(mW/m^2)	174,237045
564nm(mW/m^2)	173,473648
565nm(mW/m^2)	172,649216
566nm(mW/m^2)	172,003464
567nm(mW/m^2)	171,330643
568nm(mW/m^2)	170,603149
569nm(mW/m^2)	169,780060
570nm(mW/m^2)	168,883865
571nm(mW/m^2)	168,067917
572nm(mW/m^2)	167,267899
573nm(mW/m^2)	166,386292
574nm(mW/m^2)	165,623718
575nm(mW/m^2)	165,161896
576nm(mW/m^2)	164,293381
577nm(mW/m^2)	163,058746
578nm(mW/m^2)	161,808350
579nm(mW/m^2)	160,562057
580nm(mW/m^2)	159,815598
581nm(mW/m^2)	158,935226
582nm(mW/m^2)	157,684402
583nm(mW/m^2)	156,452682
584nm(mW/m^2)	155,238907
585nm(mW/m^2)	154,269562
586nm(mW/m^2)	153,369431
587nm(mW/m^2)	152,263168
588nm(mW/m^2)	151,016510
589nm(mW/m^2)	149,405029
590nm(mW/m^2)	148,237091
591nm(mW/m^2)	147,453415
592nm(mW/m^2)	145,759613
593nm(mW/m^2)	143,881592
594nm(mW/m^2)	142,816330
595nm(mW/m^2)	141,811157
596nm(mW/m^2)	140,932968
597nm(mW/m^2)	139,645447
598nm(mW/m^2)	138,069763
599nm(mW/m^2)	136,718170
600nm(mW/m^2)	135,450317
601nm(mW/m^2)	134,504135
602nm(mW/m^2)	133,488251
603nm(mW/m^2)	132,366013
604nm(mW/m^2)	131,411331
605nm(mW/m^2)	130,539368
606nm(mW/m^2)	129,361542
607nm(mW/m^2)	128,311630
608nm(mW/m^2)	127,769623
609nm(mW/m^2)	127,280052
610nm(mW/m^2)	126,842392
611nm(mW/m^2)	126,827400
612nm(mW/m^2)	126,913689
613nm(mW/m^2)	126,796440
614nm(mW/m^2)	126,730560
615nm(mW/m^2)	126,758499
616nm(mW/m^2)	127,852249
617nm(mW/m^2)	129,540710
618nm(mW/m^2)	130,737152
619nm(mW/m^2)	132,055573
620nm(mW/m^2)	133,921005
621nm(mW/m^2)	136,179733
622nm(mW/m^2)	138,804230
623nm(mW/m^2)	142,713348
624nm(mW/m^2)	146,990280
625nm(mW/m^2)	151,857147
626nm(mW/m^2)	157,001511
627nm(mW/m^2)	162,539932
628nm(mW/m^2)	169,548691
629nm(mW/m^2)	177,147156
630nm(mW/m^2)	185,039932
631nm(mW/m^2)	194,128754
632nm(mW/m^2)	205,674759
633nm(mW/m^2)	217,751144
634nm(mW/m^2)	230,130554
635nm(mW/m^2)	245,476456
636nm(mW/m^2)	261,660431
637nm(mW/m^2)	279,730957
638nm(mW/m^2)	299,571442
639nm(mW/m^2)	320,678467
640nm(mW/m^2)	345,076324
641nm(mW/m^2)	370,672058
642nm(mW/m^2)	399,174286
643nm(mW/m^2)	430,695648
644nm(mW/m^2)	464,692291
645nm(mW/m^2)	503,417267
646nm(mW/m^2)	543,774719
647nm(mW/m^2)	587,872986
648nm(mW/m^2)	635,267456
649nm(mW/m^2)	685,518005
650nm(mW/m^2)	738,484314
651nm(mW/m^2)	792,607849
652nm(mW/m^2)	849,643616
653nm(mW/m^2)	905,153381
654nm(mW/m^2)	959,373901
655nm(mW/m^2)	1005,611633
656nm(mW/m^2)	1047,062378
657nm(mW/m^2)	1075,648926
658nm(mW/m^2)	1091,161499
659nm(mW/m^2)	1096,754761
660nm(mW/m^2)	1079,134155
661nm(mW/m^2)	1053,290161
662nm(mW/m^2)	1010,530762
663nm(mW/m^2)	955,475403
664nm(mW/m^2)	892,742188
665nm(mW/m^2)	817,714478
666nm(mW/m^2)	740,428223
667nm(mW/m^2)	659,265564
668nm(mW/m^2)	581,682983
669nm(mW/m^2)	506,221222
670nm(mW/m^2)	440,856354
