Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_15:16:27
PPFD	6.647175
PFD	6.674603
PFD-UV	0.009077
PFD-B	6.580852
PFD-G	0.040337
PFD-R	0.025984
PFD-FR	0.018351
RFR(600~780nm)	0.044335
CHLB(430~480nm)	6.092865
Custom3(380~780nm)	6.674603
Custom4(380~780nm)	6.674603
UV%	0.135990
B%	98.595451
G%	0.604332
R%	0.389294
FR%	0.274939
RFR%	0.664232
CHLB%	91.284302
Custom3%	100.000000
Custom4%	100.000000
R:B	0.003948
R:FR	1.415928
R:G	0.644172
B:G	163.147781
UV:B	0.001379
UV:FR	0.494621
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	1.415928
BRAT(CHLB:PFD-B)	0.925848
Ratio3	0.000000
Ratio4	0.000000
LambdaP	443.000000
LambdaPV	79.689919
LambdaD	448.000000
LUX	46.068111
IRR	1.788831
fc	4.281423
I-Time	149.000000
380nm	0.125345
381nm	0.129738
382nm	0.137962
383nm	0.146484
384nm	0.145733
385nm	0.147154
386nm	0.162959
387nm	0.173524
388nm	0.168223
389nm	0.158549
390nm	0.141294
391nm	0.132099
392nm	0.131498
393nm	0.124414
394nm	0.113056
395nm	0.132147
396nm	0.162982
397nm	0.134038
398nm	0.093820
399nm	0.117105
400nm	0.142010
401nm	0.156656
402nm	0.171109
403nm	0.184811
404nm	0.210813
405nm	0.262276
406nm	0.313799
407nm	0.365395
408nm	0.415202
409nm	0.463668
410nm	0.567204
411nm	0.694830
412nm	0.852390
413nm	1.016506
414nm	1.244990
415nm	1.483426
416nm	1.802790
417nm	2.150994
418nm	2.615613
419nm	3.124755
420nm	3.725878
421nm	4.455574
422nm	5.339565
423nm	6.372700
424nm	7.512198
425nm	8.944350
426nm	10.493927
427nm	12.476729
428nm	14.539367
429nm	17.359455
430nm	20.313028
431nm	24.210300
432nm	28.402107
433nm	33.516907
434nm	39.058876
435nm	45.309292
436nm	51.754459
437nm	58.385757
438nm	64.460266
439nm	70.228317
440nm	74.340401
441nm	77.982666
442nm	79.026352
443nm	79.689919
444nm	77.776230
445nm	75.437119
446nm	71.247116
447nm	66.676163
448nm	61.313404
449nm	55.902802
450nm	50.436878
451nm	45.403828
452nm	40.654823
453nm	36.723808
454nm	33.073097
455nm	30.211851
456nm	27.467369
457nm	25.242622
458nm	23.050217
459nm	21.010996
460nm	19.008400
461nm	17.083731
462nm	15.252463
463nm	13.528133
464nm	11.955321
465nm	10.477808
466nm	9.248013
467nm	8.095304
468nm	7.198269
469nm	6.340288
470nm	5.696493
471nm	5.086824
472nm	4.600976
473nm	4.146113
474nm	3.744118
475nm	3.358791
476nm	2.988587
477nm	2.683750
478nm	2.409640
479nm	2.140170
480nm	1.871601
481nm	1.680650
482nm	1.491939
483nm	1.313652
484nm	1.152789
485nm	1.029505
486nm	0.931698
487nm	0.861597
488nm	0.785708
489nm	0.706601
490nm	0.667028
491nm	0.636868
492nm	0.564595
493nm	0.497895
494nm	0.471788
495nm	0.438184
496nm	0.387947
497nm	0.351102
498nm	0.328700
499nm	0.303652
500nm	0.277195
501nm	0.249075
502nm	0.220609
503nm	0.197623
504nm	0.179262
505nm	0.182447
506nm	0.179087
507nm	0.163793
508nm	0.156741
509nm	0.156903
510nm	0.143728
511nm	0.125197
512nm	0.112797
513nm	0.103289
514nm	0.119236
515nm	0.129451
516nm	0.123653
517nm	0.119572
518nm	0.117590
519nm	0.109228
520nm	0.097244
521nm	0.081933
522nm	0.066503
523nm	0.082079
524nm	0.092244
525nm	0.082158
526nm	0.078029
527nm	0.082657
528nm	0.077958
529nm	0.067058
530nm	0.079454
531nm	0.097753
532nm	0.090982
533nm	0.082999
534nm	0.070412
535nm	0.068272
536nm	0.081849
537nm	0.088485
538nm	0.090553
539nm	0.079154
540nm	0.065020
541nm	0.079855
542nm	0.090736
543nm	0.087940
544nm	0.089490
545nm	0.096697
546nm	0.084586
547nm	0.061921
548nm	0.059786
549nm	0.061750
550nm	0.073039
551nm	0.080461
552nm	0.078603
553nm	0.074099
554nm	0.067088
555nm	0.071227
556nm	0.079399
557nm	0.069984
558nm	0.063675
559nm	0.074889
560nm	0.083597
561nm	0.088673
562nm	0.094463
563nm	0.100662
564nm	0.099104
565nm	0.095035
566nm	0.078852
567nm	0.072324
568nm	0.085286
569nm	0.082155
570nm	0.066716
571nm	0.063942
