arquivo,ID,X,Y,PFD,PPFD,linha,coluna
ESPD_1190A.txt,0A,1,1,0.790905,0.751008,32,242
ESPD_1290A.txt,0A,1,2,6.674603,6.647175,77,242
ESPD_1390A.txt,0A,1,3,8.691154,8.416246,107,242
ESPD_1490A.txt,0A,1,4,13.853368,13.777975,137,242
ESPD_1590A.txt,0A,1,5,0.935541,0.887235,182,242
ESPD_2190A.txt,0A,2,1,1.121986,1.079194,32,194
ESPD_2290A.txt,0A,2,2,22.430828,22.272858,77,194
ESPD_2390A.txt,0A,2,3,23.172012,23.022966,107,194
ESPD_2490A.txt,0A,2,4,21.723936,21.591133,137,194
ESPD_2590A.txt,0A,2,5,1.19705,1.146467,182,194
ESPD_3190A.txt,0A,3,1,1.247496,1.201053,32,150
ESPD_3290A.txt,0A,3,2,23.908173,23.7491,77,150
ESPD_3390A.txt,0A,3,3,22.936205,22.79303,107,150
ESPD_3490A.txt,0A,3,4,22.844082,22.652914,137,150
ESPD_3590A.txt,0A,3,5,1.199587,1.146904,182,150
ESPD_4190A.txt,0A,4,1,1.263621,1.215782,32,106
ESPD_4290A.txt,0A,4,2,24.030548,23.803278,77,106
ESPD_4390A.txt,0A,4,3,22.359735,22.156471,107,106
ESPD_4490A.txt,0A,4,4,21.706831,21.528383,137,106
ESPD_4590A.txt,0A,4,5,1.259429,1.20458,182,106
ESPD_5190A.txt,0A,5,1,1.205137,1.158463,32,60
ESPD_5290A.txt,0A,5,2,19.370382,19.161572,77,60
ESPD_5390A.txt,0A,5,3,22.464287,22.235704,107,60
ESPD_5490A.txt,0A,5,4,20.450104,20.238321,137,60
ESPD_5590A.txt,0A,5,5,1.014805,0.96153,182,60
