Wavelength(nm)	PFD(umol m-2 s-1)
380	0.002299
381	0.002153
382	0.002122
383	0.002104
384	0.002169
385	0.002217
386	0.002150
387	0.002103
388	0.002117
389	0.002077
390	0.001947
391	0.001835
392	0.001746
393	0.001974
394	0.002414
395	0.002204
396	0.001739
397	0.001866
398	0.002105
399	0.002226
400	0.002345
401	0.002480
402	0.002620
403	0.002778
404	0.003094
405	0.003739
406	0.004258
407	0.004620
408	0.005351
409	0.006362
410	0.007616
411	0.008980
412	0.011087
413	0.013367
414	0.016280
415	0.019326
416	0.023469
417	0.027934
418	0.033645
419	0.040207
420	0.048503
421	0.058165
422	0.069469
423	0.082834
424	0.097696
425	0.116331
426	0.136541
427	0.162492
428	0.189606
429	0.227176
430	0.266581
431	0.317764
432	0.372994
433	0.440449
434	0.513557
435	0.595882
436	0.680910
437	0.768555
438	0.848754
439	0.924987
440	0.979707
441	1.028453
442	1.042676
443	1.051854
444	1.026307
445	0.995317
446	0.940989
447	0.881395
448	0.811084
449	0.740085
450	0.668338
451	0.602536
452	0.540559
453	0.489574
454	0.442230
455	0.405203
456	0.369548
457	0.339988
458	0.310823
459	0.284035
460	0.257670
461	0.232346
462	0.207862
463	0.184361
464	0.163146
465	0.143344
466	0.126846
467	0.111334
468	0.099362
469	0.087876
470	0.079167
471	0.070924
472	0.064476
473	0.058245
474	0.052406
475	0.047063
476	0.042170
477	0.037844
478	0.033777
479	0.030233
480	0.026780
481	0.024023
482	0.021314
483	0.018908
484	0.016723
485	0.015027
486	0.013538
487	0.012277
488	0.011225
489	0.010290
490	0.009484
491	0.008706
492	0.008064
493	0.007436
494	0.006883
495	0.006298
496	0.005643
497	0.005176
498	0.004913
499	0.004581
500	0.004212
501	0.003793
502	0.003363
503	0.003114
504	0.002894
505	0.002817
506	0.002786
507	0.002841
508	0.002903
509	0.002970
510	0.002604
511	0.002061
512	0.002063
513	0.002121
514	0.002082
515	0.002036
516	0.001966
517	0.001998
518	0.002154
519	0.002154
520	0.002065
521	0.001835
522	0.001579
523	0.001562
524	0.001549
525	0.001547
526	0.001588
527	0.001693
528	0.001670
529	0.001562
530	0.001808
531	0.002144
532	0.002148
533	0.002084
534	0.001751
535	0.001545
536	0.001532
537	0.001511
538	0.001485
539	0.001508
540	0.001543
541	0.001564
542	0.001614
543	0.001762
544	0.001788
545	0.001653
546	0.001422
547	0.001138
548	0.001299
549	0.001514
550	0.001488
551	0.001442
552	0.001348
553	0.001279
554	0.001233
555	0.001260
556	0.001313
557	0.001366
558	0.001431
559	0.001552
560	0.001514
561	0.001244
562	0.001310
563	0.001569
564	0.001581
565	0.001564
566	0.001626
567	0.001707
568	0.001825
569	0.001610
570	0.001138
571	0.001401
572	0.001826
573	0.001819
574	0.001785
575	0.001682
576	0.001667
577	0.001731
578	0.001750
579	0.001756
580	0.001706
581	0.001605
582	0.001362
583	0.001458
584	0.001873
585	0.001723
586	0.001406
587	0.001315
588	0.001274
589	0.001364
590	0.001377
591	0.001323
592	0.001252
593	0.001178
594	0.001159
595	0.001252
596	0.001585
597	0.001541
598	0.001231
599	0.001259
600	0.001329
601	0.001291
602	0.001270
603	0.001273
604	0.001036
605	0.000680
606	0.001412
607	0.001943
608	0.001541
609	0.001452
610	0.001674
