Wavelength(nm)	PFD(umol m-2 s-1)
380	0.001562
381	0.001643
382	0.001576
383	0.001493
384	0.001489
385	0.001490
386	0.001520
387	0.001525
388	0.001450
389	0.001420
390	0.001469
391	0.001463
392	0.001397
393	0.001352
394	0.001320
395	0.001357
396	0.001422
397	0.001438
398	0.001446
399	0.001520
400	0.001598
401	0.001684
402	0.001785
403	0.001941
404	0.002128
405	0.002378
406	0.002647
407	0.002940
408	0.003352
409	0.003855
410	0.004474
411	0.005145
412	0.006088
413	0.007094
414	0.008412
415	0.009791
416	0.011663
417	0.013646
418	0.016055
419	0.018692
420	0.021790
421	0.025209
422	0.029010
423	0.033308
424	0.037968
425	0.043252
426	0.048804
427	0.055256
428	0.061900
429	0.069723
430	0.077771
431	0.087180
432	0.096966
433	0.107842
434	0.119292
435	0.131668
436	0.144192
437	0.156861
438	0.169055
439	0.181009
440	0.190747
441	0.199882
442	0.204823
443	0.209132
444	0.208644
445	0.207134
446	0.201176
447	0.193863
448	0.183752
449	0.172420
450	0.159674
451	0.146560
452	0.133184
453	0.120591
454	0.108232
455	0.097670
456	0.087370
457	0.079341
458	0.071626
459	0.065538
460	0.059796
461	0.054821
462	0.050181
463	0.045930
464	0.042014
465	0.038303
466	0.035043
467	0.031915
468	0.029193
469	0.026535
470	0.024393
471	0.022369
472	0.020799
473	0.019359
474	0.018150
475	0.017178
476	0.016422
477	0.015804
478	0.015248
479	0.014846
480	0.014472
481	0.014299
482	0.014166
483	0.014252
484	0.014430
485	0.014808
486	0.015281
487	0.015856
488	0.016632
489	0.017521
490	0.018682
491	0.019911
492	0.021439
493	0.023020
494	0.024838
495	0.026761
496	0.028909
497	0.031187
498	0.033606
499	0.036140
500	0.038740
501	0.041546
502	0.044404
503	0.047457
504	0.050539
505	0.053714
506	0.056915
507	0.060153
508	0.063386
509	0.066615
510	0.069755
511	0.072866
512	0.075900
513	0.078925
514	0.081849
515	0.084715
516	0.087399
517	0.090017
518	0.092550
519	0.094967
520	0.097322
521	0.099531
522	0.101711
523	0.103648
524	0.105536
525	0.107222
526	0.108855
527	0.110407
528	0.111814
529	0.113126
530	0.114311
531	0.115467
532	0.116506
533	0.117521
534	0.118432
535	0.119266
536	0.119983
537	0.120711
538	0.121447
539	0.121919
540	0.122328
541	0.122782
542	0.123185
543	0.123416
544	0.123710
545	0.124089
546	0.124307
547	0.124436
548	0.124464
549	0.124478
550	0.124537
551	0.124595
552	0.124652
553	0.124665
554	0.124637
555	0.124492
556	0.124303
557	0.124276
558	0.124241
559	0.124136
560	0.123997
561	0.123809
562	0.123698
563	0.123630
564	0.123455
565	0.123252
566	0.122966
567	0.122677
568	0.122384
569	0.122121
570	0.121879
571	0.121568
572	0.121236
573	0.120845
574	0.120425
575	0.119934
576	0.119417
577	0.118878
578	0.118372
579	0.117874
580	0.117336
581	0.116778
582	0.116171
583	0.115511
584	0.114801
585	0.114100
586	0.113400
587	0.112736
588	0.112023
589	0.111184
590	0.110292
591	0.109355
592	0.108418
593	0.107480
594	0.106555
595	0.105602
596	0.104595
597	0.103646
598	0.102738
599	0.101626
600	0.100484
601	0.099396
602	0.098334
603	0.097312
604	0.096192
605	0.095019
606	0.093859
607	0.092709
608	0.091599
609	0.090433
610	0.089212
611	0.088006
612	0.086798
613	0.085556
614	0.084326
615	0.083119
616	0.081892
617	0.080651
618	0.079448
619	0.078240
620	0.077017
621	0.075794
622	0.074570
623	0.073375
624	0.072187
625	0.071026
626	0.069844
627	0.068634
628	0.067442
629	0.066253
630	0.065019
631	0.063840
632	0.062782
633	0.061691
634	0.060579
635	0.059463
636	0.058324
637	0.057126
638	0.055989
639	0.054895
640	0.053855
641	0.052813
642	0.051756
643	0.050730
644	0.049730
645	0.048712
646	0.047711
647	0.046791
648	0.045887
649	0.044998
650	0.044115
651	0.043216
652	0.042254
653	0.041337
654	0.040457
655	0.039611
656	0.038797
657	0.038085
658	0.037294
659	0.036441
660	0.035667
661	0.034920
662	0.034237
663	0.033553
664	0.032868
665	0.031992
666	0.031218
667	0.030673
668	0.030036
669	0.029354
670	0.028661
671	0.027971
672	0.027285
673	0.026684
674	0.026117
675	0.025611
676	0.025009
677	0.024315
678	0.023829
679	0.023338
680	0.022751
681	0.022294
682	0.021912
683	0.021374
684	0.020864
685	0.020399
686	0.019960
687	0.019543
688	0.019202
689	0.018763
690	0.018244
691	0.017927
692	0.017592
693	0.017199
694	0.016769
695	0.016340
696	0.016005
697	0.015689
698	0.015390
699	0.014964
700	0.014595
701	0.014349
702	0.013947
703	0.013535
704	0.013340
705	0.013059
706	0.012714
707	0.012559
708	0.012396
709	0.012219
710	0.011823
711	0.011463
712	0.011339
713	0.011044
714	0.010692
715	0.010542
716	0.010392
717	0.010240
718	0.009948
719	0.009724
720	0.009604
721	0.009383
722	0.009172
723	0.009033
724	0.008803
725	0.008567
726	0.008452
727	0.008252
728	0.008014
729	0.007933
730	0.007800
731	0.007623
732	0.007500
733	0.007380
734	0.007262
735	0.007126
736	0.006973
737	0.006792
738	0.006648
739	0.006585
740	0.006683
741	0.006613
742	0.006456
743	0.006182
744	0.006132
745	0.006143
746	0.006089
747	0.006006
748	0.005904
749	0.005773
750	0.005763
751	0.005783
752	0.005675
753	0.005589
754	0.005503
755	0.005369
756	0.005349
757	0.005374
758	0.005330
759	0.005272
760	0.005206
761	0.005143
762	0.005084
763	0.005044
764	0.005075
765	0.005022
766	0.004945
767	0.004898
768	0.004762
769	0.004627
770	0.004567
771	0.004585
772	0.004617
773	0.004638
774	0.004554
775	0.004523
776	0.004588
777	0.004577
778	0.004528
779	0.004443
780	0.004352
