Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_16:02:29
PPFD	43.120434
PFD	43.837353
PFD-UV	0.063341
PFD-B	10.159993
PFD-G	5.124460
PFD-R	27.835993
PFD-FR	0.653568
RFR(600~780nm)	28.489557
CHLB(430~480nm)	9.099736
Custom3(380~780nm)	43.837353
Custom4(380~780nm)	43.837353
UV%	0.144491
B%	23.176563
G%	11.689710
R%	63.498337
FR%	1.490894
RFR%	64.989227
CHLB%	20.757952
Custom3%	100.000000
Custom4%	100.000000
R:B	2.739765
R:FR	42.590786
R:G	5.431986
B:G	1.982647
UV:B	0.006234
UV:FR	0.096916
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	42.590786
BRAT(CHLB:PFD-B)	0.895644
Ratio3	0.000000
Ratio4	0.000000
LambdaP	657.000000
LambdaPV	195.221817
LambdaD	380.000000
LUX	1112.591431
IRR	9.065716
fc	103.400688
I-Time	67.000000
380nm	1.056532
381nm	1.092173
382nm	1.047228
383nm	0.994936
384nm	1.062999
385nm	1.119147
386nm	1.096394
387nm	1.061585
388nm	0.990279
389nm	0.935998
390nm	0.911221
391nm	0.908550
392nm	0.929449
393nm	0.919749
394nm	0.889865
395nm	0.894700
396nm	0.912927
397nm	0.902455
398nm	0.886570
399nm	0.902930
400nm	0.922619
401nm	0.965043
402nm	0.993248
403nm	0.965875
404nm	0.985385
405nm	1.101949
406nm	1.195698
407nm	1.261377
408nm	1.343436
409nm	1.437768
410nm	1.633642
411nm	1.873936
412nm	2.089733
413nm	2.300164
414nm	2.766309
415nm	3.246762
416nm	3.722301
417nm	4.254003
418nm	5.012406
419nm	5.865461
420nm	6.914052
421nm	8.117415
422nm	9.506519
423nm	11.141834
424nm	12.952744
425nm	15.168036
426nm	17.545584
427nm	20.628471
428nm	23.841341
429nm	28.099716
430nm	32.542244
431nm	38.286602
432nm	44.417160
433nm	51.757954
434nm	59.618385
435nm	68.340607
436nm	77.172722
437nm	86.109871
438nm	94.163963
