arquivo,ID,X,Y,PFD,PPFD,linha,coluna
ESPD_1190T.txt,0T,1,1,3.345256,3.231568,32,242
ESPD_1290T.txt,0T,1,2,33.622166,33.101231,77,242
ESPD_1390T.txt,0T,1,3,48.164436,47.455273,107,242
ESPD_1490T.txt,0T,1,4,43.837353,43.120434,137,242
ESPD_1590T.txt,0T,1,5,3.768147,3.649986,182,242
ESPD_2190T.txt,0T,2,1,5.279906,5.137826,32,194
ESPD_2290T.txt,0T,2,2,103.815598,102.313049,77,194
ESPD_2390T.txt,0T,2,3,103.641846,102.1604,107,194
ESPD_2490T.txt,0T,2,4,106.519753,104.952583,137,194
ESPD_2590T.txt,0T,2,5,5.481348,5.331413,182,194
ESPD_3190T.txt,0T,3,1,5.805728,5.657099,32,150
ESPD_3290T.txt,0T,3,2,107.729904,106.237595,77,150
ESPD_3390T.txt,0T,3,3,109.413239,107.871048,107,150
ESPD_3490T.txt,0T,3,4,107.391602,105.820786,137,150
ESPD_3590T.txt,0T,3,5,5.866643,5.71531,182,150
ESPD_4190T.txt,0T,4,1,5.683826,5.538368,32,106
ESPD_4290T.txt,0T,4,2,97.238144,95.88916,77,106
ESPD_4390T.txt,0T,4,3,95.90345,94.536087,107,106
ESPD_4490T.txt,0T,4,4,97.214386,95.837883,137,106
ESPD_4590T.txt,0T,4,5,5.385732,5.245105,182,106
ESPD_5190T.txt,0T,5,1,5.41625,5.272203,32,60
ESPD_5290T.txt,0T,5,2,96.453148,95.02562,77,61
ESPD_5390T.txt,0T,5,3,100.371216,98.910866,107,62
ESPD_5490T.txt,0T,5,4,99.65876,98.215096,137,63
ESPD_5590T.txt,0T,5,5,4.644901,4.506394,182,64
