Wavelength(nm)	PFD(umol m-2 s-1)
380	0.000702
381	0.000704
382	0.000702
383	0.000699
384	0.000701
385	0.000702
386	0.000693
387	0.000684
388	0.000678
389	0.000664
390	0.000635
391	0.000626
392	0.000637
393	0.000628
394	0.000608
395	0.000613
396	0.000629
397	0.000630
398	0.000629
399	0.000645
400	0.000660
401	0.000666
402	0.000671
403	0.000678
404	0.000693
405	0.000729
406	0.000766
407	0.000805
408	0.000851
409	0.000903
410	0.000974
411	0.001054
412	0.001156
413	0.001263
414	0.001427
415	0.001601
416	0.001838
417	0.002092
418	0.002412
419	0.002770
420	0.003204
421	0.003700
422	0.004269
423	0.004943
424	0.005692
425	0.006608
426	0.007595
427	0.008825
428	0.010104
429	0.011813
430	0.013600
431	0.015895
432	0.018353
433	0.021304
434	0.024503
435	0.028107
436	0.031806
437	0.035597
438	0.039161
439	0.042607
440	0.045172
441	0.047494
442	0.048396
443	0.049089
444	0.048310
445	0.047280
446	0.045168
447	0.042786
448	0.039851
449	0.036789
450	0.033580
451	0.030572
452	0.027691
453	0.025192
454	0.022819
455	0.020903
456	0.019048
457	0.017507
458	0.016002
459	0.014690
460	0.013406
461	0.012189
462	0.011031
463	0.009942
464	0.008942
465	0.007995
466	0.007205
467	0.006461
468	0.005851
469	0.005261
470	0.004821
471	0.004401
472	0.004059
473	0.003744
474	0.003474
475	0.003221
476	0.002981
477	0.002770
478	0.002572
479	0.002417
480	0.002270
481	0.002161
482	0.002055
483	0.001965
484	0.001890
485	0.001848
486	0.001818
487	0.001802
488	0.001799
489	0.001802
490	0.001831
491	0.001865
492	0.001921
493	0.001979
494	0.002054
495	0.002137
496	0.002241
497	0.002354
498	0.002478
499	0.002611
500	0.002750
501	0.002891
502	0.003034
503	0.003220
504	0.003401
505	0.003555
506	0.003722
507	0.003911
508	0.004099
509	0.004287
510	0.004468
511	0.004648
512	0.004821
513	0.004991
514	0.005148
515	0.005302
516	0.005447
517	0.005597
518	0.005754
519	0.005883
520	0.005998
521	0.006131
522	0.006268
523	0.006380
524	0.006492
525	0.006596
526	0.006686
527	0.006753
528	0.006827
529	0.006907
530	0.006962
531	0.007010
532	0.007077
533	0.007139
534	0.007180
535	0.007221
536	0.007260
537	0.007300
538	0.007341
539	0.007375
540	0.007409
541	0.007421
542	0.007437
543	0.007464
544	0.007487
545	0.007507
546	0.007505
547	0.007491
548	0.007499
549	0.007511
550	0.007528
551	0.007537
552	0.007528
553	0.007513
554	0.007492
555	0.007504
556	0.007528
557	0.007509
558	0.007493
559	0.007496
560	0.007496
561	0.007491
562	0.007473
563	0.007447
564	0.007453
565	0.007462
566	0.007448
567	0.007432
