arquivo,ID,X,Y,PFD,PPFD,linha,coluna
ESPD_1190V.txt,0V,1,1,2.063391,1.960658,32,242
ESPD_1290V.txt,0V,1,2,19.673708,19.306702,77,242
ESPD_1390V.txt,0V,1,3,18.245531,17.918152,107,242
ESPD_1490V.txt,0V,1,4,27.063047,26.583496,137,242
ESPD_1590V.txt,0V,1,5,2.157747,2.053131,182,242
ESPD_2190V.txt,0V,2,1,2.935758,2.819113,32,194
ESPD_2290V.txt,0V,2,2,59.746849,58.777367,77,194
ESPD_2390V.txt,0V,2,3,56.447815,55.533241,107,194
ESPD_2490V.txt,0V,2,4,62.739674,61.716774,137,194
ESPD_2590V.txt,0V,2,5,3.01892,2.901649,182,194
ESPD_3190V.txt,0V,3,1,3.122683,3.004734,32,150
ESPD_3290V.txt,0V,3,2,60.816505,59.808056,77,150
ESPD_3390V.txt,0V,3,3,61.503922,60.501987,107,150
ESPD_3490V.txt,0V,3,4,62.464336,61.405796,137,150
ESPD_3590V.txt,0V,3,5,2.958119,2.839778,182,150
ESPD_4190V.txt,0V,4,1,3.221992,3.103173,32,106
ESPD_4290V.txt,0V,4,2,51.513409,50.713032,77,106
ESPD_4390V.txt,0V,4,3,48.560135,47.75412,107,106
ESPD_4490V.txt,0V,4,4,53.286278,52.388317,137,106
ESPD_4590V.txt,0V,4,5,2.84479,2.7287,182,106
ESPD_5190V.txt,0V,5,1,3.167702,3.050926,32,60
ESPD_5290V.txt,0V,5,2,55.082706,54.162605,77,61
ESPD_5390V.txt,0V,5,3,54.598732,53.705894,107,62
ESPD_5490V.txt,0V,5,4,58.167492,57.236797,137,63
ESPD_5590V.txt,0V,5,5,2.561261,2.446965,182,64
