arquivo,ID,X,Y,PFD,PPFD,linha,coluna
ESPD_119100A.txt,100A,1,1,4.242575,4.158119,32,242
ESPD_129100A.txt,100A,1,2,79.886772,79.484604,77,242
ESPD_139100A.txt,100A,1,3,70.635689,70.361679,107,242
ESPD_149100A.txt,100A,1,4,74.593796,74.124718,137,242
ESPD_159100A.txt,100A,1,5,5.263515,5.141273,182,242
ESPD_219100A.txt,100A,2,1,6.473379,6.353922,32,194
ESPD_229100A.txt,100A,2,2,135.660934,134.863663,77,194
ESPD_239100A.txt,100A,2,3,144.185577,143.206451,107,194
ESPD_249100A.txt,100A,2,4,134.056198,133.035446,137,194
ESPD_259100A.txt,100A,2,5,6.352348,6.212232,182,194
ESPD_319100A.txt,100A,3,1,7.751379,7.619621,32,150
ESPD_329100A.txt,100A,3,2,147.516357,146.28418,77,150
ESPD_339100A.txt,100A,3,3,142.835739,141.557343,107,150
ESPD_349100A.txt,100A,3,4,142.385452,140.858139,137,150
ESPD_359100A.txt,100A,3,5,7.003071,6.856457,182,150
ESPD_419100A.txt,100A,4,1,7.412222,7.278838,32,106
ESPD_429100A.txt,100A,4,2,152.407272,151.052811,77,106
ESPD_439100A.txt,100A,4,3,146.75647,145.267014,107,106
ESPD_449100A.txt,100A,4,4,143.272675,141.810211,137,106
ESPD_459100A.txt,100A,4,5,8.145318,7.990642,182,106
ESPD_519100A.txt,100A,5,1,7.018517,6.882728,32,60
ESPD_529100A.txt,100A,5,2,132.572556,130.986771,77,60
ESPD_539100A.txt,100A,5,3,153.379929,151.793762,107,60
ESPD_549100A.txt,100A,5,4,137.385605,135.889832,137,60
ESPD_559100A.txt,100A,5,5,6.128798,5.989265,182,60
