Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_11:29:34
PPFD	6.771913
PFD	7.012103
PFD-UV	0.012771
PFD-B	1.855176
PFD-G	3.353933
PFD-R	1.562800
PFD-FR	0.227419
RFR(600~780nm)	1.790220
CHLB(430~480nm)	1.444026
Custom3(380~780nm)	7.012103
Custom4(380~780nm)	7.012103
UV%	0.182124
B%	26.456787
G%	47.830654
R%	22.287195
FR%	3.243242
RFR%	25.530424
CHLB%	20.593342
Custom3%	100.000000
Custom4%	100.000000
R:B	0.842400
R:FR	6.871889
R:G	0.465960
B:G	0.553135
UV:B	0.006884
UV:FR	0.056155
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	6.871889
BRAT(CHLB:PFD-B)	0.778377
Ratio3	0.000000
Ratio4	0.000000
LambdaP	442.000000
LambdaPV	15.766322
LambdaD	491.000000
LUX	491.371674
IRR	1.560163
fc	45.666512
I-Time	750.000000
380nm	0.208475
381nm	0.208299
382nm	0.208199
383nm	0.208019
384nm	0.201888
385nm	0.196513
386nm	0.196148
387nm	0.195251
388nm	0.192741
389nm	0.191312
390nm	0.191752
391nm	0.190543
392nm	0.187573
393nm	0.185056
394nm	0.182836
395nm	0.186792
396nm	0.193131
397nm	0.195313
398nm	0.196711
399nm	0.201854
400nm	0.208346
401nm	0.228213
402nm	0.249785
403nm	0.278022
404nm	0.308732
405nm	0.344562
406nm	0.385827
407nm	0.433780
408nm	0.501601
409nm	0.584310
410nm	0.690579
411nm	0.807154
412nm	0.951105
413nm	1.101054
414nm	1.304636
415nm	1.514828
416nm	1.770671
417nm	2.038896
418nm	2.357097
419nm	2.696130
420nm	3.078199
421nm	3.488533
422nm	3.932786
423nm	4.412931
424nm	4.918673
425nm	5.474183
426nm	6.049661
427nm	6.667397
428nm	7.292922
429nm	7.985910
430nm	8.686251
431nm	9.433394
432nm	10.188691
433nm	10.969540
434nm	11.750162
435nm	12.530412
436nm	13.268504
437nm	13.966308
438nm	14.567326
439nm	15.115071
440nm	15.462035
441nm	15.752035
442nm	15.766322
443nm	15.739760
444nm	15.429887
445nm	15.064548
446nm	14.457886
447nm	13.791228
448nm	12.999867
449nm	12.162478
450nm	11.271873
451nm	10.378485
452nm	9.483273
453nm	8.648896
454nm	7.835368
455nm	7.134071
456nm	6.450869
457nm	5.889739
458nm	5.349566
459nm	4.908635
460nm	4.488897
461nm	4.114249
462nm	3.771416
463nm	3.465009
464nm	3.181462
465nm	2.912292
466nm	2.674684
467nm	2.446898
468nm	2.258197
469nm	2.075470
470nm	1.925535
471nm	1.784196
472nm	1.674042
473nm	1.573789
474nm	1.490428
475nm	1.416674
476nm	1.351637
477nm	1.302546
478nm	1.260950
479nm	1.231576
480nm	1.204575
481nm	1.193730
482nm	1.186135
483nm	1.195799
484nm	1.210232
485nm	1.234947
486nm	1.269270
487nm	1.314040
488nm	1.373786
489nm	1.441858
490nm	1.526835
491nm	1.615839
492nm	1.730878
493nm	1.848638
494nm	1.978672
495nm	2.116297
496nm	2.270764
497nm	2.434452
498nm	2.608085
499nm	2.786833
500nm	2.968298
501nm	3.165939
502nm	3.366993
503nm	3.580162
504nm	3.794607
505nm	4.014994
506nm	4.237549
507nm	4.464056
508nm	4.687603
509nm	4.908556
510nm	5.126790
511nm	5.343932
512nm	5.556895
513nm	5.767831
514nm	5.960758
515nm	6.152037
516nm	6.338711
517nm	6.518528
518nm	6.689962
519nm	6.850287
520nm	7.004305
521nm	7.147150
522nm	7.287336
523nm	7.409968
524nm	7.530125
525nm	7.641012
526nm	7.744498
527nm	7.837106
528nm	7.924009
529nm	8.007118
530nm	8.075261
531nm	8.139611
532nm	8.195697
533nm	8.251300
534nm	8.305046
535nm	8.349018
536nm	8.378287
537nm	8.411096
538nm	8.446234
539nm	8.466613
540nm	8.483553
541nm	8.504296
542nm	8.520563
543nm	8.521346
544nm	8.523504
545nm	8.527453
546nm	8.525733
547nm	8.520915
548nm	8.506262
549nm	8.490392
550nm	8.479052
551nm	8.466464
552nm	8.450883
553nm	8.430990
554nm	8.407007
555nm	8.384269
556nm	8.361981
557nm	8.339623
558nm	8.317742
559nm	8.298017
560nm	8.275809
561nm	8.250004
562nm	8.222922
563nm	8.195113
564nm	8.167173
565nm	8.138223
566nm	8.100139
567nm	8.062073
568nm	8.024046
569nm	7.988001
570nm	7.953472
571nm	7.916211
572nm	7.878077
573nm	7.835325
574nm	7.792500
575nm	7.749487
576nm	7.702283
577nm	7.651304
578nm	7.599760
579nm	7.548153
580nm	7.502546
581nm	7.453754
582nm	7.396153
583nm	7.343014
584nm	7.294061
585nm	7.237061
586nm	7.177699
587nm	7.121384
588nm	7.063850
589nm	7.003149
590nm	6.940428
591nm	6.875958
592nm	6.809530
593nm	6.742048
594nm	6.665504
595nm	6.590066
596nm	6.516966
597nm	6.445330
598nm	6.374724
599nm	6.302926
600nm	6.229750
601nm	6.148286
602nm	6.069642
603nm	5.995302
604nm	5.918549
605nm	5.840604
606nm	5.764563
607nm	5.688195
608nm	5.610307
609nm	5.530685
610nm	5.449348
611nm	5.369243
612nm	5.289326
613nm	5.207367
614nm	5.125602
615nm	5.044188
616nm	4.964901
617nm	4.886801
618nm	4.809850
619nm	4.731946
620nm	4.650454
621nm	4.570471
622nm	4.491890
623nm	4.416169
624nm	4.341444
625nm	4.269429
626nm	4.195230
627nm	4.117930
628nm	4.043265
629nm	3.969539
630nm	3.890744
631nm	3.814579
632nm	3.743817
633nm	3.672290
634nm	3.600326
635nm	3.535470
636nm	3.468394
637nm	3.394115
638nm	3.324754
639nm	3.258912
640nm	3.189471
641nm	3.122477
642nm	3.065238
643nm	3.003960
644nm	2.939371
645nm	2.879935
646nm	2.821331
647nm	2.763122
648nm	2.705184
649nm	2.647479
650nm	2.591413
651nm	2.536827
652nm	2.487045
653nm	2.435440
654nm	2.382296
655nm	2.333254
656nm	2.284804
657nm	2.236506
658nm	2.188047
659nm	2.139467
660nm	2.096487
661nm	2.052767
662nm	2.005544
663nm	1.963776
664nm	1.925415
665nm	1.879888
666nm	1.836411
667nm	1.797662
668nm	1.757709
669nm	1.717113
670nm	1.674660
671nm	1.636452
672nm	1.604442
673nm	1.567339
674nm	1.530135
675nm	1.501618
676nm	1.469979
677nm	1.435328
678nm	1.401065
679nm	1.367643
680nm	1.336512
681nm	1.306090
682nm	1.276123
683nm	1.249839
684nm	1.224286
685nm	1.199862
686nm	1.172967
687nm	1.146448
688nm	1.125431
689nm	1.100738
690nm	1.073074
691nm	1.051792
692nm	1.029592
693nm	1.004860
694nm	0.984290
695nm	0.964447
696nm	0.939513
697nm	0.918151
698nm	0.899909
699nm	0.883371
700nm	0.867321
701nm	0.851986
702nm	0.833543
703nm	0.814721
704nm	0.799237
705nm	0.779864
706nm	0.757631
707nm	0.742078
708nm	0.729345
709nm	0.720587
710nm	0.705908
711nm	0.690271
712nm	0.675353
713nm	0.665010
714nm	0.655412
715nm	0.634304
716nm	0.616687
717nm	0.602045
718nm	0.593955
719nm	0.585704
720nm	0.576964
721nm	0.566813
722nm	0.555059
723nm	0.539990
724nm	0.529489
725nm	0.520925
726nm	0.513616
727nm	0.502870
728nm	0.490473
729nm	0.482454
730nm	0.475912
731nm	0.470657
732nm	0.455897
733nm	0.446865
734nm	0.444927
735nm	0.433926
736nm	0.424236
737nm	0.418142
738nm	0.411831
739nm	0.405582
740nm	0.399556
741nm	0.393525
742nm	0.389138
743nm	0.389371
744nm	0.386290
745nm	0.382059
746nm	0.377872
747nm	0.373824
748nm	0.370451
749nm	0.369691
750nm	0.362421
751nm	0.353710
752nm	0.352888
753nm	0.351958
754nm	0.350696
755nm	0.348004
756nm	0.346223
757nm	0.344003
758nm	0.337206
759nm	0.330251
760nm	0.324671
761nm	0.325796
762nm	0.324384
763nm	0.321127
764nm	0.315116
765nm	0.311652
766nm	0.310455
767nm	0.313328
768nm	0.311102
769nm	0.307343
770nm	0.303772
771nm	0.303260
772nm	0.301677
773nm	0.296699
774nm	0.299759
775nm	0.300883
776nm	0.297648
777nm	0.286842
778nm	0.287054
779nm	0.298089
780nm	0.288231
CCT	6300.000000
Duv	0.003729
x	0.316001
y	0.333263
u'	0.198519
v'	0.471069
deltax	-0.000779
deltay	0.006473
deltau'	-0.002997
deltav'	0.003329
Purity	5.914990
CRI	67.689774
R1	67.791512
R2	69.206215
R3	69.499329
R4	69.785500
R5	69.440125
R6	61.096088
R7	74.751373
R8	59.948025
R9	-30.905783
R10	27.652645
R11	70.573311
R12	42.050434
R13	66.045311
R14	82.860619
R15	60.535946
