arquivo,ID,X,Y,PFD,PPFD,linha,coluna
ESPD_119100B.txt,100B,1,1,4.106028,3.942367,32,242
ESPD_129100B.txt,100B,1,2,53.758472,52.315975,77,242
ESPD_139100B.txt,100B,1,3,64.800362,63.059006,107,242
ESPD_149100B.txt,100B,1,4,66.078163,64.321968,137,242
ESPD_159100B.txt,100B,1,5,4.526333,4.352548,182,242
ESPD_219100B.txt,100B,2,1,6.693546,6.462398,32,194
ESPD_229100B.txt,100B,2,2,135.902054,132.365067,77,194
ESPD_239100B.txt,100B,2,3,142.389282,138.684784,107,194
ESPD_249100B.txt,100B,2,4,149.284149,145.364532,137,194
ESPD_259100B.txt,100B,2,5,7.383347,7.131945,182,194
ESPD_319100B.txt,100B,3,1,8.059511,7.793138,32,150
ESPD_329100B.txt,100B,3,2,141.82341,138.137451,77,150
ESPD_339100B.txt,100B,3,3,143.117401,139.38295,107,150
ESPD_349100B.txt,100B,3,4,140.331787,136.704208,137,150
ESPD_359100B.txt,100B,3,5,7.74002,7.48183,182,150
ESPD_419100B.txt,100B,4,1,7.383986,7.134886,32,106
ESPD_429100B.txt,100B,4,2,143.681396,139.903473,77,106
ESPD_439100B.txt,100B,4,3,141.618988,137.915192,107,106
ESPD_449100B.txt,100B,4,4,134.587463,131.076553,137,106
ESPD_459100B.txt,100B,4,5,7.012103,6.771913,182,106
ESPD_519100B.txt,100B,5,1,7.68325,7.427855,32,60
ESPD_529100B.txt,100B,5,2,141.011856,137.289673,77,60
ESPD_539100B.txt,100B,5,3,139.095978,135.42746,107,60
ESPD_549100B.txt,100B,5,4,132.479248,129.073059,137,60
ESPD_559100B.txt,100B,5,5,6.403204,6.174606,182,60
