Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_11:51:43
PPFD	18.146980
PFD	18.365667
PFD-UV	0.019232
PFD-B	0.075496
PFD-G	0.094204
PFD-R	17.977278
PFD-FR	0.199452
RFR(600~780nm)	18.176733
CHLB(430~480nm)	0.036048
Custom3(380~780nm)	18.365667
Custom4(380~780nm)	18.365667
UV%	0.104718
B%	0.411073
G%	0.512938
R%	97.885269
FR%	1.086002
RFR%	98.971268
CHLB%	0.196281
Custom3%	100.000000
Custom4%	100.000000
R:B	238.121323
R:FR	90.133568
R:G	190.832550
B:G	0.801409
UV:B	0.254743
UV:FR	0.096425
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	90.133568
BRAT(CHLB:PFD-B)	0.477484
Ratio3	0.000000
Ratio4	0.000000
LambdaP	661.000000
LambdaPV	122.235558
LambdaD	643.000000
LUX	208.334869
IRR	3.350812
fc	19.361977
I-Time	109.000000
380nm	0.314519
381nm	0.332878
382nm	0.338414
383nm	0.342533
384nm	0.349142
385nm	0.351156
386nm	0.322736
387nm	0.302491
388nm	0.306991
389nm	0.299222
390nm	0.270191
391nm	0.249527
392nm	0.237784
393nm	0.249807
394nm	0.277507
395nm	0.267570
396nm	0.243116
397nm	0.276022
398nm	0.319744
399nm	0.285433
400nm	0.254307
401nm	0.293524
402nm	0.312759
403nm	0.253880
404nm	0.218854
405nm	0.233205
406nm	0.245714
407nm	0.255956
408nm	0.264427
409nm	0.271571
410nm	0.266851
411nm	0.256940
412nm	0.250987
413nm	0.245901
414nm	0.270900
415nm	0.295386
416nm	0.290862
417nm	0.284968
418nm	0.273547
419nm	0.262398
420nm	0.251807
421nm	0.236004
422nm	0.213944
423nm	0.218642
424nm	0.242425
425nm	0.221470
426nm	0.182565
427nm	0.208059
428nm	0.245422
429nm	0.240341
430nm	0.233573
431nm	0.221500
432nm	0.209414
433nm	0.197284
434nm	0.194635
435nm	0.207709
436nm	0.210652
437nm	0.203915
438nm	0.188801
439nm	0.169075
440nm	0.173592
441nm	0.184986
442nm	0.195878
443nm	0.206321
444nm	0.209130
445nm	0.206905
446nm	0.182775
447nm	0.168032
448nm	0.172801
449nm	0.174817
450nm	0.173652
451nm	0.186735
452nm	0.209167
453nm	0.197314
454nm	0.173711
455nm	0.181293
456nm	0.192867
457nm	0.205026
458nm	0.210911
459nm	0.187093
460nm	0.169836
461nm	0.166536
462nm	0.165228
463nm	0.166201
464nm	0.166922
465nm	0.167483
466nm	0.172621
467nm	0.179182
468nm	0.191129
469nm	0.201621
470nm	0.183152
471nm	0.171266
472nm	0.183264
473nm	0.195063
474nm	0.206521
475nm	0.208213
476nm	0.201045
477nm	0.189670
478nm	0.176319
479nm	0.197306
480nm	0.224959
481nm	0.188628
482nm	0.159031
483nm	0.167374
484nm	0.167788
485nm	0.151101
486nm	0.147177
487nm	0.157132
488nm	0.166945
489nm	0.176679
490nm	0.160424
491nm	0.137980
492nm	0.147081
493nm	0.158531
494nm	0.179115
495nm	0.186608
496nm	0.165054
497nm	0.151286
498nm	0.145915
499nm	0.144129
500nm	0.144249
501nm	0.148868
502nm	0.154428
503nm	0.149326
504nm	0.144929
505nm	0.143814
506nm	0.139875
507nm	0.130789
508nm	0.129474
509nm	0.134965
510nm	0.139496
511nm	0.143643
512nm	0.164722
513nm	0.184279
514nm	0.162904
515nm	0.148637
516nm	0.154225
517nm	0.167064
518nm	0.188764
519nm	0.182699
520nm	0.160870
521nm	0.161331
522nm	0.166145
523nm	0.154907
524nm	0.145664
525nm	0.143890
526nm	0.145344
527nm	0.151542
528nm	0.149801
529nm	0.142782
530nm	0.146431
531nm	0.152784
532nm	0.163265
533nm	0.174583
534nm	0.189253
535nm	0.194328
536nm	0.184970
537nm	0.178191
538nm	0.173110
539nm	0.175462
540nm	0.179600
541nm	0.185304
542nm	0.182860
543nm	0.152231
544nm	0.146281
545nm	0.172441
546nm	0.168779
547nm	0.148821
548nm	0.155883
549nm	0.166485
550nm	0.166978
551nm	0.164166
552nm	0.153425
553nm	0.145454
554nm	0.140111
555nm	0.155091
556nm	0.177422
557nm	0.157022
558nm	0.139774
559nm	0.145311
560nm	0.155402
561nm	0.172099
562nm	0.160437
563nm	0.132561
564nm	0.143841
565nm	0.161086
566nm	0.177508
567nm	0.188809
568nm	0.189771
569nm	0.177612
570nm	0.155419
571nm	0.157562
572nm	0.166344
573nm	0.190715
574nm	0.203289
575nm	0.186058
576nm	0.178174
577nm	0.178703
578nm	0.183731
579nm	0.190386
580nm	0.213545
581nm	0.225860
582nm	0.208176
583nm	0.213455
584nm	0.240283
585nm	0.247389
586nm	0.249357
587nm	0.287934
588nm	0.316239
589nm	0.317852
590nm	0.338859
591nm	0.376666
592nm	0.381358
593nm	0.378117
594nm	0.384282
595nm	0.408935
596nm	0.472655
597nm	0.517575
598nm	0.549262
599nm	0.603139
600nm	0.661498
601nm	0.724827
602nm	0.797206
603nm	0.883391
604nm	0.943861
605nm	0.991636
606nm	1.113537
607nm	1.238588
608nm	1.359653
609nm	1.493720
610nm	1.640655
611nm	1.803938
612nm	1.975239
613nm	2.194714
614nm	2.426816
615nm	2.681970
616nm	2.948033
617nm	3.220184
618nm	3.573192
619nm	3.951377
620nm	4.396325
621nm	4.869612
622nm	5.369257
623nm	5.928065
624nm	6.517342
625nm	7.240127
626nm	7.994875
627nm	8.795015
628nm	9.721766
629nm	10.701768
630nm	11.825209
631nm	13.034015
632nm	14.418201
633nm	15.911883
634nm	17.468121
635nm	19.265869
636nm	21.163280
637nm	23.301447
638nm	25.588654
639nm	27.982513
640nm	30.720591
641nm	33.562588
642nm	36.634979
643nm	39.988914
644nm	43.573673
645nm	47.577873
646nm	51.755871
647nm	56.378357
648nm	61.281696
649nm	66.428391
650nm	72.029243
651nm	77.784821
652nm	83.876289
653nm	90.069748
654nm	96.349358
655nm	102.347069
656nm	108.101234
657nm	113.143532
658nm	117.222977
659nm	120.571922
660nm	121.854790
661nm	122.235558
662nm	120.637154
663nm	117.461456
664nm	113.300850
665nm	106.940529
666nm	99.988678
667nm	91.954193
668nm	83.473175
669nm	74.790329
670nm	66.220329
671nm	58.012215
672nm	50.332344
673nm	43.510971
674nm	37.127426
675nm	31.880291
676nm	27.217905
677nm	23.119654
678nm	19.835501
679nm	16.840853
680nm	14.369050
681nm	12.250452
682nm	10.342834
683nm	8.931723
684nm	7.640445
685nm	6.533781
686nm	5.627122
687nm	4.816661
688nm	4.204993
689nm	3.656730
690nm	3.159709
691nm	2.797381
692nm	2.444687
693nm	2.095330
694nm	1.867835
695nm	1.681674
696nm	1.477315
697nm	1.350192
698nm	1.290502
699nm	1.125818
700nm	0.984482
701nm	0.901266
702nm	0.848986
703nm	0.801930
704nm	0.729152
705nm	0.672333
706nm	0.627258
707nm	0.579438
708nm	0.541161
709nm	0.516638
710nm	0.513789
711nm	0.500551
712nm	0.443967
713nm	0.419984
714nm	0.407049
715nm	0.359170
716nm	0.363883
717nm	0.413433
718nm	0.357729
719nm	0.343251
720nm	0.392393
721nm	0.374543
722nm	0.350335
723nm	0.339978
724nm	0.356959
725nm	0.371952
726nm	0.332364
727nm	0.331682
728nm	0.352053
729nm	0.350009
730nm	0.350588
731nm	0.353454
732nm	0.334466
733nm	0.315177
734nm	0.295761
735nm	0.294871
736nm	0.303448
737nm	0.324724
738nm	0.337402
739nm	0.335655
740nm	0.305922
741nm	0.300488
742nm	0.296173
743nm	0.276551
744nm	0.303799
745nm	0.335834
746nm	0.326920
747nm	0.340900
748nm	0.352083
749nm	0.310694
750nm	0.289402
751nm	0.288079
