Wavelength(nm)	PFD(umol m-2 s-1)
380	0.016851
381	0.018846
382	0.017438
383	0.015669
384	0.016223
385	0.016927
386	0.018613
387	0.019435
388	0.017617
389	0.015809
390	0.014026
391	0.012617
392	0.011610
393	0.011557
394	0.012139
395	0.011676
396	0.010805
397	0.011227
398	0.011895
399	0.013245
400	0.014378
401	0.012714
402	0.011433
403	0.011679
404	0.012517
405	0.014586
406	0.014740
407	0.012520
408	0.011896
409	0.012475
410	0.012697
411	0.012763
412	0.012211
413	0.011521
414	0.011468
415	0.011358
416	0.010018
417	0.009324
418	0.011268
419	0.012983
420	0.014212
421	0.013476
422	0.010365
423	0.010753
424	0.013655
425	0.012813
426	0.010456
427	0.011743
428	0.013712
429	0.011875
430	0.010315
431	0.011860
432	0.012932
433	0.012497
434	0.012005
435	0.011416
436	0.011520
437	0.012290
438	0.012879
439	0.013370
440	0.013237
441	0.012924
442	0.011581
443	0.010198
444	0.010011
445	0.009735
446	0.009070
447	0.008645
448	0.008726
449	0.007643
450	0.005206
451	0.007253
452	0.012265
453	0.012303
454	0.010626
455	0.008544
456	0.006518
457	0.008244
458	0.009539
459	0.008751
460	0.008317
461	0.008641
462	0.008966
463	0.009292
464	0.009686
465	0.010124
466	0.008785
467	0.006887
468	0.008527
469	0.010388
470	0.010403
471	0.010502
472	0.010905
473	0.011058
474	0.010780
475	0.010287
476	0.009599
477	0.009694
478	0.010160
479	0.010285
480	0.010344
481	0.009515
482	0.008895
483	0.009449
484	0.009654
485	0.009103
486	0.008910
487	0.009108
488	0.008840
489	0.008311
490	0.008478
491	0.008813
492	0.007515
493	0.006627
494	0.008522
495	0.009685
496	0.009205
497	0.008673
498	0.008087
499	0.008198
500	0.008683
501	0.008895
502	0.009051
503	0.008594
504	0.008222
505	0.008251
506	0.008062
507	0.007476
508	0.007544
509	0.008188
510	0.008212
511	0.007985
512	0.008996
513	0.009977
514	0.008871
515	0.007657
516	0.006152
517	0.006246
518	0.008307
519	0.009144
520	0.009284
521	0.011008
522	0.012985
523	0.010406
524	0.008443
525	0.008819
526	0.008469
527	0.007046
528	0.008318
529	0.011393
530	0.010483
531	0.008555
532	0.008303
533	0.008235
534	0.008900
535	0.009047
536	0.008413
537	0.008176
538	0.008202
539	0.007906
540	0.007536
541	0.007432
542	0.007804
543	0.009829
544	0.009834
545	0.007195
546	0.004963
547	0.002951
548	0.005511
549	0.008711
550	0.010551
551	0.011499
552	0.010289
553	0.009499
554	0.009110
555	0.008812
556	0.008547
557	0.008145
558	0.008379
559	0.011520
560	0.012113
561	0.008988
562	0.009411
563	0.011873
564	0.009874
565	0.007760
566	0.011038
567	0.012283
568	0.009397
569	0.009287
570	0.011309
571	0.011157
572	0.010450
573	0.009277
574	0.009064
575	0.011290
576	0.012294
577	0.012195
578	0.012329
579	0.012533
580	0.012745
581	0.012702
582	0.011949
583	0.013550
584	0.017370
585	0.018601
586	0.019096
587	0.021719
588	0.024461
589	0.027500
590	0.028362
591	0.027327
592	0.029264
593	0.031809
594	0.031670
595	0.033926
596	0.041257
597	0.046975
598	0.051558
599	0.055141
600	0.058767
601	0.063853
602	0.070505
603	0.079545
604	0.086358
605	0.092079
606	0.103973
607	0.116293
608	0.128758
609	0.142256
610	0.156781
611	0.175035
612	0.194353
613	0.213615
614	0.235733
615	0.263029
616	0.292966
617	0.324426
618	0.362830
619	0.402690
620	0.445566
621	0.493728
622	0.546838
623	0.607091
624	0.670383
625	0.743762
626	0.822283
627	0.908035
628	1.004983
629	1.106996
630	1.229319
631	1.358590
632	1.501775
633	1.659902
634	1.826818
635	2.022304
636	2.227057
637	2.452343
638	2.697064
639	2.955972
640	3.245831
641	3.549073
642	3.885120
643	4.249846
644	4.638394
645	5.068685
646	5.518268
647	6.016803
648	6.550500
649	7.115016
650	7.729886
651	8.362846
652	9.032387
653	9.712089
654	10.400723
655	11.071349
656	11.721212
657	12.303464
658	12.786104
659	13.193159
660	13.380069
661	13.467187
662	13.332061
663	13.022085
664	12.602058
665	11.926867
666	11.187130
667	10.332086
668	9.406960
669	8.448268
670	7.499090
671	6.582259
672	5.714144
673	4.950407
674	4.235884
675	3.641837
676	3.108556
677	2.634108
678	2.257158
679	1.913698
680	1.631144
681	1.391073
682	1.176097
683	1.012583
684	0.864546
685	0.740695
686	0.635062
687	0.539525
688	0.469650
689	0.406973
690	0.350104
691	0.307484
692	0.269062
693	0.237340
694	0.207853
695	0.180942
696	0.165852
697	0.148486
698	0.129117
699	0.117377
700	0.105873
701	0.093868
702	0.085328
703	0.078446
704	0.074259
705	0.067780
706	0.059603
707	0.058590
708	0.057755
709	0.057093
710	0.054093
711	0.048843
712	0.038394
713	0.035355
714	0.035530
715	0.033435
716	0.033039
717	0.034097
718	0.029508
719	0.026580
720	0.026285
721	0.032570
722	0.036759
723	0.032863
724	0.033510
725	0.035118
726	0.033524
727	0.029876
728	0.025321
729	0.024398
730	0.023999
731	0.024058
732	0.027125
733	0.028724
734	0.028490
735	0.032297
736	0.033812
737	0.030884
738	0.028783
739	0.028253
740	0.030826
741	0.030672
742	0.029593
743	0.027993
744	0.027704
745	0.027799
746	0.027619
747	0.028228
748	0.029104
749	0.029705
750	0.030063
751	0.030175
752	0.029656
753	0.029119
754	0.030105
755	0.039006
756	0.035878
757	0.028744
758	0.032552
759	0.035583
760	0.038526
761	0.042825
762	0.041432
763	0.038127
764	0.037455
765	0.031931
766	0.026398
767	0.026952
768	0.028194
769	0.031907
770	0.041283
771	0.039010
772	0.036015
773	0.036797
774	0.032793
775	0.033790
776	0.042882
777	0.041901
778	0.039441
779	0.036037
780	0.033907
