Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_10:46:11
PPFD	240.730728
PFD	243.305588
PFD-UV	0.209922
PFD-B	79.004601
PFD-G	26.410995
PFD-R	135.315140
PFD-FR	2.364959
RFR(600~780nm)	137.680084
CHLB(430~480nm)	68.523148
Custom3(380~780nm)	243.305588
Custom4(380~780nm)	243.305588
UV%	0.086279
B%	32.471340
G%	10.855070
R%	55.615295
FR%	0.972012
RFR%	56.587307
CHLB%	28.163410
Custom3%	100.000000
Custom4%	100.000000
R:B	1.712750
R:FR	57.216690
R:G	5.123440
B:G	2.991353
UV:B	0.002657
UV:FR	0.088764
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	57.216690
BRAT(CHLB:PFD-B)	0.867331
Ratio3	0.000000
Ratio4	0.000000
LambdaP	661.000000
LambdaPV	839.705566
LambdaD	380.000000
LUX	5551.817383
IRR	52.125614
fc	515.968140
I-Time	14.000000
380nm	3.491480
381nm	3.230742
382nm	3.326704
383nm	3.455437
384nm	3.068329
385nm	2.765785
386nm	3.023244
387nm	3.194574
388nm	3.105187
389nm	3.070682
390nm	3.131282
391nm	3.124145
392nm	3.044784
393nm	3.009471
394nm	3.003214
395nm	3.017366
396nm	3.039391
397nm	3.240516
398nm	3.475415
399nm	4.012033
400nm	4.549225
401nm	4.958172
402nm	5.418152
403nm	6.077627
404nm	6.916220
405nm	8.125617
406nm	9.617841
407nm	11.458032
408nm	13.420900
409nm	15.475694
410nm	18.454546
411nm	21.837624
412nm	25.818762
413nm	29.930902
414nm	35.558727
415nm	41.420074
416nm	49.176270
417nm	57.403912
418nm	67.534576
419nm	78.362503
420nm	90.630890
421nm	104.320824
422nm	119.716728
423nm	137.367813
424nm	156.627258
425nm	178.997299
426nm	202.615417
427nm	230.287750
428nm	258.707214
429nm	293.313446
430nm	328.896088
431nm	371.251740
432nm	414.994415
433nm	463.083679
434nm	513.000854
435nm	565.949524
436nm	617.570007
437nm	667.921082
438nm	712.197388
439nm	753.130005
440nm	780.264099
441nm	803.483337
442nm	806.747925
443nm	807.125610
444nm	788.322327
445nm	766.288696
446nm	730.200623
447nm	691.155334
448nm	645.963379
449nm	599.191345
450nm	550.592346
451nm	504.191742
452nm	459.233612
453nm	418.928223
454nm	380.217224
455nm	347.348511
456nm	315.398651
457nm	289.061401
458nm	263.271729
459nm	240.075394
460nm	217.886780
461nm	197.842194
462nm	178.794678
463nm	160.888733
464nm	144.524109
465nm	129.128922
466nm	115.838333
467nm	103.202705
468nm	92.951324
469nm	83.072960
470nm	75.321671
471nm	67.949982
472nm	61.955597
473nm	56.230236
474nm	50.963840
475nm	46.364830
476nm	42.371357
477nm	38.886963
478nm	35.641880
479nm	32.849842
480nm	30.145733
481nm	27.930777
482nm	25.839373
483nm	24.407040
484nm	23.061213
485nm	21.901966
486nm	21.030844
487nm	20.473022
488nm	20.048218
489nm	19.697359
490nm	19.563137
491nm	19.480501
492nm	19.560984
493nm	19.713337
494nm	20.274876
495nm	20.999756
496nm	22.087069
497nm	22.919849
498nm	23.478079
499nm	24.534695
500nm	25.856276
501nm	27.261147
502nm	28.683434
503nm	29.932301
504nm	31.205181
505nm	32.589901
506nm	34.081161
507nm	35.766647
508nm	37.385754
509nm	38.946739
510nm	40.366428
511nm	41.729393
512nm	43.423729
513nm	45.133419
514nm	46.570187
515nm	47.957039
516nm	49.204460
517nm	50.451790
518nm	51.699009
519nm	52.894890
520nm	54.061611
521nm	55.171680
522nm	56.269569
523nm	57.348549
524nm	58.346798
525nm	59.042831
526nm	59.736164
527nm	60.425552
528nm	61.135555
529nm	61.859249
530nm	62.341816
531nm	62.763290
532nm	63.220928
533nm	63.658237
534nm	64.012321
535nm	64.335114
536nm	64.610825
537nm	64.953072
538nm	65.339127
539nm	65.596558
540nm	65.824341
541nm	66.104530
542nm	66.312630
543nm	66.271332
544nm	66.264900
545nm	66.303848
546nm	66.349571
547nm	66.398987
548nm	66.250671
549nm	66.080345
550nm	66.031044
551nm	66.021477
552nm	66.107254
553nm	66.123306
554nm	66.073242
555nm	65.880432
556nm	65.635986
557nm	65.415779
558nm	65.210831
559nm	65.069733
560nm	64.865593
561nm	64.570023
562nm	64.563660
563nm	64.722664
564nm	64.467964
565nm	64.139030
566nm	63.715336
567nm	63.392292
568nm	63.272484
569nm	62.991398
570nm	62.586971
571nm	62.348373
572nm	62.146683
573nm	61.864586
574nm	61.598225
575nm	61.371616
576nm	61.068150
577nm	60.695492
578nm	60.100868
579nm	59.447762
580nm	59.221142
581nm	58.959213
582nm	58.599651
583nm	58.340706
584nm	58.176178
585nm	57.620770
586nm	56.955513
587nm	56.658226
588nm	56.354469
589nm	56.033916
590nm	55.629116
591nm	55.151329
592nm	54.742962
593nm	54.346748
594nm	53.857296
595nm	53.528271
596nm	53.538254
597nm	53.438015
598nm	53.260181
599nm	52.879387
600nm	52.493736
601nm	52.317448
602nm	52.165905
603nm	52.052116
604nm	51.839809
605nm	51.578873
606nm	51.962116
607nm	52.306072
608nm	52.382904
609nm	52.631691
610nm	53.050640
611nm	53.684090
612nm	54.380878
613nm	55.137665
614nm	56.008385
615nm	57.087074
616nm	58.432968
617nm	59.927959
618nm	61.729145
619nm	63.634880
620nm	65.825356
621nm	68.179688
622nm	70.686417
623nm	74.018181
624nm	77.581802
625nm	81.489975
626nm	85.939270
627nm	91.157021
628nm	96.641663
629nm	102.261772
630nm	109.293037
631nm	116.613068
632nm	124.526352
633nm	133.690399
634nm	143.569031
