Wavelength(nm)	PFD(umol m-2 s-1)
380	0.002093
381	0.002122
382	0.002163
383	0.002206
384	0.002199
385	0.002178
386	0.002065
387	0.001944
388	0.001800
389	0.001735
390	0.001809
391	0.001847
392	0.001847
393	0.001850
394	0.001855
395	0.001834
396	0.001802
397	0.001852
398	0.001918
399	0.001880
400	0.001862
401	0.002117
402	0.002368
403	0.002597
404	0.002876
405	0.003255
406	0.003701
407	0.004228
408	0.004802
409	0.005411
410	0.006357
411	0.007454
412	0.008893
413	0.010413
414	0.012341
415	0.014370
416	0.017314
417	0.020356
418	0.023759
419	0.027512
420	0.031975
421	0.036989
422	0.042664
423	0.049023
424	0.055882
425	0.064052
426	0.072775
427	0.082940
428	0.093410
429	0.106180
430	0.119342
431	0.134855
432	0.150964
433	0.168793
434	0.187193
435	0.206488
436	0.225090
437	0.243028
438	0.258375
439	0.272315
440	0.280880
441	0.287935
442	0.287845
443	0.286703
444	0.278462
445	0.269195
446	0.255585
447	0.240986
448	0.224391
449	0.207585
450	0.190547
451	0.174481
452	0.159032
453	0.145448
454	0.132467
455	0.121535
456	0.110873
457	0.101776
458	0.092857
459	0.084939
460	0.077315
461	0.070360
462	0.063727
463	0.057469
464	0.051780
465	0.046441
466	0.041858
467	0.037497
468	0.034115
469	0.030851
470	0.028131
471	0.025519
472	0.023334
473	0.021315
474	0.019584
475	0.018059
476	0.016720
477	0.015374
478	0.014021
479	0.013071
480	0.012196
481	0.011508
482	0.010865
483	0.010467
484	0.010103
485	0.009813
486	0.009559
487	0.009344
488	0.009251
489	0.009226
490	0.009263
491	0.009314
492	0.009640
493	0.009973
494	0.010298
495	0.010664
496	0.011124
497	0.011674
498	0.012321
499	0.012918
500	0.013488
501	0.014207
502	0.014960
503	0.015803
504	0.016659
505	0.017562
506	0.018451
507	0.019311
508	0.020191
509	0.021087
510	0.021942
511	0.022782
512	0.023615
513	0.024450
514	0.025295
515	0.026117
516	0.026867
517	0.027601
518	0.028317
519	0.028901
520	0.029411
521	0.030054
522	0.030723
523	0.031278
