Model Name	LI-180
Serial Number	A21M0027
Time	2025/02/10_15:50:30
Memo	
PFD	417,368256
PPFD	412,249207
PFD-UV	0,333555
PFD-B	170,469330
PFD-G	70,344025
PFD-R	171,435867
PFD-FR	4,785439
PFD-B:G ratio	2,423366
PFD-R:FR ratio	35,824482
PFD-Custom(380~780nm)	417,368042
LambdaP(nm)	441
LambdaPValue(mW/m^2)	1833,416016
LambdaD(nm)	380
LUX(lx)	12674,0771484375
IRR(W/m^2)	93,552269
fc	1177,888184
I-Time(ms)	6
380nm(mW/m^2)	6,267041
381nm(mW/m^2)	6,567737
382nm(mW/m^2)	5,851216
383nm(mW/m^2)	5,022138
384nm(mW/m^2)	4,370686
385nm(mW/m^2)	3,770559
386nm(mW/m^2)	3,510325
387nm(mW/m^2)	3,526881
388nm(mW/m^2)	4,381289
389nm(mW/m^2)	4,841737
390nm(mW/m^2)	4,619475
391nm(mW/m^2)	4,607967
392nm(mW/m^2)	4,821170
393nm(mW/m^2)	5,162972
394nm(mW/m^2)	5,589605
395nm(mW/m^2)	5,628443
396nm(mW/m^2)	5,517703
397nm(mW/m^2)	5,709779
398nm(mW/m^2)	5,958961
399nm(mW/m^2)	6,290368
400nm(mW/m^2)	6,679719
401nm(mW/m^2)	7,678439
402nm(mW/m^2)	8,852533
403nm(mW/m^2)	10,712182
404nm(mW/m^2)	12,619406
405nm(mW/m^2)	14,625117
406nm(mW/m^2)	17,290335
407nm(mW/m^2)	20,766964
408nm(mW/m^2)	24,706165
409nm(mW/m^2)	28,991980
410nm(mW/m^2)	34,996494
411nm(mW/m^2)	41,752846
412nm(mW/m^2)	49,950195
413nm(mW/m^2)	58,463192
414nm(mW/m^2)	70,853134
415nm(mW/m^2)	83,715752
416nm(mW/m^2)	99,812584
417nm(mW/m^2)	117,025940
418nm(mW/m^2)	138,746201
419nm(mW/m^2)	162,077469
420nm(mW/m^2)	188,736908
421nm(mW/m^2)	219,228714
422nm(mW/m^2)	254,319672
423nm(mW/m^2)	294,649902
424nm(mW/m^2)	338,716705
425nm(mW/m^2)	389,851196
426nm(mW/m^2)	443,821564
427nm(mW/m^2)	509,850464
428nm(mW/m^2)	578,101501
429nm(mW/m^2)	662,777771
430nm(mW/m^2)	749,909546
431nm(mW/m^2)	853,899902
432nm(mW/m^2)	961,651611
433nm(mW/m^2)	1081,190430
434nm(mW/m^2)	1203,925171
435nm(mW/m^2)	1331,960327
