Model Name	LI-180
Serial Number	A21M0027
Time	2024/06/12_10:01:49
PPFD	1161.067383
PFD	1510.787476
PFD-UV	23.607746
PFD-B	304.263580
PFD-G	414.639465
PFD-R	442.164581
PFD-FR	326.111603
RFR(600~780nm)	768.276001
CHLB(430~480nm)	162.583588
Custom3(380~780nm)	1510.787476
Custom4(380~780nm)	1510.787476
UV%	1.562612
B%	20.139410
G%	27.445263
R%	29.267168
FR%	21.585545
RFR%	50.852688
CHLB%	10.761513
Custom3%	100.000000
Custom4%	100.000000
R:B	1.453229
R:FR	1.355869
R:G	1.066383
B:G	0.733803
UV:B	0.077590
UV:FR	0.072392
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	1.355869
BRAT(CHLB:PFD-B)	0.534351
Ratio3	0.000000
Ratio4	0.000000
LambdaP	478.000000
LambdaPV	941.848389
LambdaD	556.000000
LUX	65264.937500
IRR	311.941895
fc	6065.514648
I-Time	10.000000
380nm	301.150238
381nm	305.086761
382nm	307.185974
383nm	309.074463
384nm	310.781372
385nm	313.156738
386nm	319.958893
387nm	325.084961
388nm	325.137299
389nm	328.557343
390nm	337.813385
391nm	344.136353
392nm	347.332092
393nm	359.707886
394nm	378.139252
395nm	398.095490
396nm	418.639893
397nm	439.841125
398nm	461.166260
399nm	488.174835
400nm	514.871216
401nm	535.550171
402nm	557.046936
403nm	581.740173
404nm	600.572571
405nm	607.271912
406nm	613.528320
407nm	619.239868
408nm	624.386780
409nm	629.110535
410nm	634.493164
411nm	640.164001
412nm	646.491333
413nm	652.962524
414nm	655.743652
415nm	658.583496
416nm	664.924194
417nm	669.959961
418nm	669.728210
419nm	669.970703
420nm	671.193115
421nm	671.196350
422nm	669.736511
423nm	666.973877
424nm	663.282104
425nm	656.967590
426nm	649.600769
427nm	648.203064
428nm	647.905396
429nm	651.562317
430nm	655.582947
431nm	661.794067
432nm	668.011902
433nm	674.250732
434nm	682.609253
435nm	694.483032
436nm	710.106323
437nm	729.312988
438nm	743.967224
439nm	756.115723
440nm	766.025696
441nm	775.300598
442nm	783.842834
443nm	792.655945
444nm	807.931763
445nm	822.780151
446nm	835.768921
447nm	846.606140
448nm	852.971191
449nm	859.349304
450nm	865.742493
451nm	873.376099
452nm	881.823608
453nm	887.505249
454nm	892.239014
455nm	895.199890
456nm	897.961487
457nm	901.582581
458nm	905.388611
459nm	910.070374
460nm	913.850525
461nm	915.712585
462nm	916.149170
463nm	914.953674
464nm	914.623413
465nm	914.837280
466nm	914.974731
467nm	915.088318
468nm	914.567078
469nm	914.121643
470nm	915.682556
471nm	917.661865
472nm	921.158997
473nm	924.889832
474nm	929.019470
475nm	933.200256
476nm	937.427429
477nm	940.021729
478nm	941.848389
479nm	939.002136
480nm	935.248901
481nm	929.400757
482nm	923.906128
483nm	920.374817
484nm	917.188599
485nm	914.746765
486nm	912.139648
487nm	909.352844
488nm	907.280823
489nm	905.606262
490nm	908.825073
491nm	913.209106
492nm	918.944397
493nm	924.239685
494nm	926.650146
495nm	927.854980
496nm	926.384949
497nm	925.153931
498nm	924.180908
499nm	922.472961
500nm	920.374268
501nm	918.893982
502nm	917.543823
503nm	916.169861
504nm	915.045715
505nm	915.085083
506nm	915.572693
507nm	916.877563
508nm	916.977295
509nm	916.021912
510nm	912.467651
511nm	907.869995
512nm	901.798767
513nm	895.643860
514nm	890.523071
515nm	886.032593
516nm	883.302979
517nm	881.177307
518nm	879.789612
519nm	879.485779
520nm	879.797180
521nm	881.760193
522nm	884.136230
523nm	890.191040
524nm	896.212402
525nm	902.108887
526nm	906.787048
527nm	909.674744
528nm	911.975098
529nm	913.884949
530nm	915.864807
531nm	917.862366
532nm	920.602966
533nm	922.993774
534nm	923.950806
535nm	923.854553
536nm	922.173645
537nm	921.222900
538nm	920.752869
539nm	920.577820
540nm	920.464661
541nm	919.842590
542nm	919.390198
543nm	919.524536
544nm	919.878845
545nm	920.519470
546nm	921.637634
547nm	923.016846
548nm	923.443970
549nm	923.700195
550nm	923.754944
551nm	923.364258
552nm	921.904480
553nm	920.123474
554nm	918.038025
555nm	916.387024
556nm	914.893127
557nm	913.021118
558nm	911.133667
559nm	909.252380
560nm	907.325684
561nm	905.333191
562nm	903.816162
563nm	902.570923
564nm	901.988525
565nm	901.479858
566nm	900.706726
567nm	899.905762
568nm	899.048767
569nm	898.204468
570nm	897.369995
571nm	896.935608
572nm	896.597351
573nm	896.224976
574nm	896.110168
575nm	896.646240
576nm	897.218018
577nm	897.821899
578nm	898.503357
579nm	899.192444
580nm	899.005127
581nm	898.428528
582nm	896.774902
583nm	894.627991
584nm	892.018188
585nm	889.117126
586nm	886.122009
587nm	882.860962
588nm	879.641907
589nm	876.531799
590nm	873.538391
591nm	870.646057
592nm	869.080078
593nm	867.946655
594nm	868.320984
595nm	869.053284
596nm	870.542236
597nm	871.966125
598nm	873.344116
599nm	874.501526
600nm	875.562439
601nm	876.208008
602nm	876.450439
603nm	876.077759
604nm	876.128113
605nm	876.387329
606nm	875.454102
607nm	874.458191
608nm	873.484375
609nm	871.993835
610nm	869.992004
611nm	866.893555
612nm	863.580994
613nm	861.459900
614nm	859.844360
