Wavelength(nm)	PFD(umol m-2 s-1)
380	1.008197
381	1.027187
382	1.034530
383	1.040613
384	1.049995
385	1.061653
386	1.088244
387	1.108600
388	1.109748
389	1.123450
390	1.159033
391	1.184067
392	1.197757
393	1.244530
394	1.313368
395	1.385935
396	1.460166
397	1.536653
398	1.613865
399	1.713186
400	1.811682
401	1.886351
402	1.964582
403	2.055768
404	2.126796
405	2.155429
406	2.183486
407	2.210802
408	2.233765
409	2.253462
410	2.278954
411	2.307053
412	2.333431
413	2.359508
414	2.377241
415	2.395324
416	2.423547
417	2.447498
418	2.453810
419	2.460815
420	2.469254
421	2.474761
422	2.476724
423	2.472933
424	2.464995
425	2.446818
426	2.424436
427	2.426256
428	2.432554
429	2.450289
430	2.469716
431	2.500348
432	2.530295
433	2.557844
434	2.596499
435	2.653602
436	2.722341
437	2.802289
438	2.862810
439	2.912674
440	2.957455
441	3.000908
442	3.041137
443	3.082497
444	3.148787
445	3.213750
446	3.272024
447	3.322361
448	3.355884
449	3.388901
450	3.421312
451	3.458867
452	3.499864
453	3.529372
454	3.554980
455	3.575108
456	3.594675
457	3.617349
458	3.640960
459	3.668772
460	3.692117
461	3.705815
462	3.715802
463	3.721513
464	3.728444
465	3.736145
466	3.744038
467	3.751990
468	3.759094
469	3.766526
470	3.780052
471	3.795285
472	3.816666
473	3.839924
474	3.866359
475	3.893811
476	3.922198
477	3.941576
478	3.956717
479	3.953799
480	3.947317
481	3.930410
482	3.915048
483	3.908778
484	3.904165
485	3.903212
486	3.899997
487	3.894312
488	3.893544
489	3.895511
490	3.917551
491	3.944445
492	3.982038
493	4.016864
494	4.032537
495	4.044155
496	4.046702
497	4.050954
498	4.057057
499	4.057672
500	4.055337
501	4.057278
502	4.060103
503	4.060996
504	4.063430
505	4.073175
506	4.083907
507	4.096435
508	4.104942
509	4.109908
510	4.104103
511	4.093915
512	4.072498
513	4.050495
514	4.038146
515	4.026901
516	4.018893
517	4.016853
518	4.022160
519	4.029150
520	4.037100
521	4.055202
522	4.075778
523	4.113283
524	4.150474
525	4.186173
526	4.216580
527	4.239122
528	4.259232
529	4.277730
530	4.295445
531	4.312987
532	4.335941
533	4.357247
534	4.371591
535	4.380554
536	4.381379
537	4.385864
538	4.392768
539	4.401065
540	4.409671
541	4.416807
542	4.423874
543	4.430712
544	4.439267
545	4.450068
546	4.463155
547	4.477505
548	4.489491
549	4.500940
550	4.510429
551	4.517562
552	4.519018
553	4.518882
554	4.517228
555	4.515253
556	4.513138
557	4.513489
558	4.513655
559	4.512575
560	4.510666
561	4.507568
562	4.508458
563	4.511629
564	4.515791
565	4.520111
566	4.524549
567	4.528959
568	4.533323
569	4.537452
570	4.541395
571	4.546390
572	4.551645
573	4.557108
574	4.564226
575	4.575551
576	4.587872
577	4.601097
578	4.611616
579	4.621275
580	4.627746
581	4.633246
582	4.636063
583	4.634346
584	4.628350
585	4.620522
586	4.612113
587	4.604208
588	4.595850
589	4.586393
590	4.579440
591	4.574658
592	4.575289
593	4.577842
594	4.589307
595	4.603344
596	4.622820
597	4.636149
598	4.645136
599	4.659373
600	4.674010
601	4.685016
602	4.694835
603	4.702832
604	4.708786
605	4.713722
606	4.718240
607	4.721810
608	4.722173
609	4.719184
610	4.712862
611	4.706585
612	4.700406
613	4.695790
614	4.693524
615	4.695593
616	4.695968
617	4.695381
618	4.696148
619	4.696844
620	4.696993
621	4.696354
622	4.694976
623	4.690354
624	4.685456
625	4.684439
626	4.679597
627	4.669314
628	4.665518
629	4.664343
630	4.665888
631	4.670351
632	4.680845
633	4.691862
634	4.703184
635	4.710914
636	4.718873
637	4.727997
638	4.734591
639	4.739364
640	4.740194
641	4.739303
642	4.733987
643	4.728900
644	4.723993
645	4.714727
646	4.706072
647	4.702330
648	4.693221
649	4.679433
650	4.663242
651	4.647251
652	4.633629
653	4.628114
654	4.629474
655	4.639200
656	4.650884
657	4.665443
658	4.680087
659	4.694799
660	4.718854
661	4.745558
662	4.777154
663	4.807265
664	4.836471
665	4.848802
666	4.859035
667	4.866006
668	4.870626
669	4.874039
670	4.875077
671	4.877413
672	4.881660
673	4.883230
674	4.883360
675	4.879546
676	4.875420
677	4.870991
678	4.860311
679	4.845478
680	4.821079
681	4.782073
682	4.734424
683	4.680618
684	4.629881
685	4.583989
686	4.545651
687	4.511385
688	4.487181
689	4.469444
690	4.456945
691	4.461697
692	4.474395
693	4.500699
694	4.534966
695	4.570993
696	4.599349
697	4.626380
698	4.652254
699	4.675764
700	4.695839
701	4.709589
702	4.725808
703	4.742700
704	4.758776
705	4.771228
706	4.781007
707	4.789255
708	4.793800
709	4.793018
710	4.773360
711	4.742801
712	4.691627
713	4.630683
714	4.565076
715	4.499637
716	4.440773
717	4.387511
718	4.332817
719	4.283270
720	4.241300
721	4.208022
722	4.183512
723	4.176857
724	4.189524
725	4.211384
726	4.242972
727	4.280570
728	4.321870
729	4.364424
730	4.411339
731	4.462089
732	4.524168
733	4.582443
734	4.635900
735	4.692744
736	4.744900
737	4.788684
738	4.828136
739	4.863497
740	4.891599
741	4.916859
742	4.940875
743	4.963505
744	4.979692
745	4.991645
746	4.996625
747	5.000605
748	5.001001
749	4.987974
750	4.962508
751	4.924366
752	4.853412
753	4.746585
754	4.614416
755	4.445322
756	4.266562
757	4.085917
758	3.921541
759	3.786302
760	3.674948
761	3.607952
762	3.583668
763	3.593709
764	3.662919
765	3.761819
766	3.881629
767	4.030913
768	4.191819
769	4.352194
770	4.501707
771	4.625750
772	4.733061
773	4.819423
774	4.871854
775	4.910353
776	4.935771
777	4.945862
778	4.954988
779	4.963319
780	4.956985
