Wavelength(nm)	PFD(umol m-2 s-1)
380	0.956619
381	0.971674
382	0.980928
383	0.989542
384	0.997605
385	1.007848
386	1.032414
387	1.051672
388	1.054559
389	1.068398
390	1.101321
391	1.124811
392	1.138160
393	1.181721
394	1.245433
395	1.314488
396	1.385824
397	1.459683
398	1.534310
399	1.628248
400	1.721595
401	1.795217
402	1.871933
403	1.959776
404	2.028239
405	2.055941
406	2.082251
407	2.106811
408	2.129542
409	2.150912
410	2.174619
411	2.199406
412	2.226549
413	2.254294
414	2.269378
415	2.284711
416	2.312266
417	2.335378
418	2.340169
419	2.346617
420	2.356509
421	2.362131
422	2.362592
423	2.358422
424	2.350913
425	2.334023
426	2.313282
427	2.313723
428	2.318076
429	2.336607
430	2.356505
431	2.384364
432	2.412350
433	2.440516
434	2.476477
435	2.525360
436	2.588107
437	2.664206
438	2.723957
439	2.774758
440	2.817529
441	2.858124
442	2.896167
443	2.935356
444	2.998679
445	3.060668
446	3.115971
447	3.163452
448	3.194366
449	3.225436
450	3.256669
451	3.292685
452	3.331904
453	3.360791
454	3.386175
455	3.404895
456	3.422905
457	3.444245
458	3.466353
459	3.491886
460	3.514029
461	3.528844
462	3.538185
463	3.541216
464	3.547584
465	3.556061
466	3.564243
467	3.572336
468	3.577946
469	3.583845
470	3.597619
471	3.613066
472	3.634536
473	3.656988
474	3.681082
475	3.705449
476	3.730070
477	3.748251
478	3.763407
479	3.759884
480	3.752674
481	3.736977
482	3.722607
483	3.716073
484	3.710875
485	3.708642
486	3.705698
487	3.701977
488	3.701126
489	3.701865
490	3.722620
491	3.748211
492	3.779433
493	3.808938
494	3.826618
495	3.839350
496	3.841011
497	3.843640
498	3.847323
499	3.847924
500	3.846864
501	3.848358
502	3.850374
503	3.852267
504	3.855189
505	3.863004
506	3.872716
507	3.885900
508	3.893988
509	3.897589
510	3.890093
511	3.878082
512	3.859686
513	3.840830
514	3.826314
515	3.814427
516	3.810060
517	3.808257
518	3.809613
519	3.815650
520	3.824355
521	3.840259
522	3.857998
523	3.891860
524	3.925677
525	3.959047
526	3.987158
527	4.007459
528	4.025217
529	4.041286
530	4.057697
531	4.074220
532	4.094080
533	4.112428
534	4.124416
535	4.131709
536	4.131900
537	4.135341
538	4.140928
539	4.147836
540	4.155021
541	4.159903
542	4.165542
543	4.173837
544	4.183135
545	4.193743
546	4.206542
547	4.220552
548	4.230225
549	4.239120
550	4.247094
551	4.253016
552	4.253999
553	4.253472
554	4.251506
555	4.251521
556	4.252237
557	4.251169
558	4.249997
559	4.248823
560	4.247404
561	4.245645
562	4.246086
563	4.247781
564	4.252580
565	4.257717
566	4.261595
567	4.265328
568	4.268782
569	4.272281
570	4.275814
571	4.281242
572	4.287122
573	4.292833
574	4.299774
575	4.309842
576	4.320090
577	4.330503
578	4.341301
579	4.352147
580	4.358756
581	4.363470
582	4.362936
583	4.359969
584	4.354707
585	4.347977
586	4.340737
587	4.332143
588	4.323700
589	4.315740
590	4.308304
591	4.301317
592	4.300846
593	4.302492
594	4.311606
595	4.322507
596	4.337190
597	4.351573
598	4.365751
599	4.378847
600	4.391478
601	4.402040
602	4.410585
603	4.416033
604	4.423611
605	4.432246
606	4.434844
607	4.437109
608	4.439469
609	4.439183
610	4.436265
611	4.427712
612	4.418012
613	4.414362
614	4.413271
615	4.416897
616	4.418241
617	4.418296
618	4.417961
619	4.417765
620	4.418208
621	4.417636
622	4.416115
623	4.412383
624	4.407902
625	4.401674
626	4.396022
627	4.391209
628	4.389549
629	4.389126
630	4.388461
631	4.391397
632	4.401782
633	4.412997
634	4.424692
635	4.434541
636	4.444160
637	4.453406
638	4.458320
639	4.460117
640	4.462453
641	4.463457
642	4.459688
643	4.454585
644	4.448377
645	4.442792
646	4.436720
647	4.428496
648	4.419466
649	4.409727
650	4.393457
651	4.377158
652	4.364766
653	4.360050
654	4.361845
655	4.371918
656	4.383338
657	4.395561
658	4.407815
659	4.420098
660	4.443933
661	4.470438
662	4.501326
663	4.530388
664	4.558329
665	4.569058
666	4.578317
667	4.585645
668	4.590299
669	4.593586
670	4.594246
671	4.595056
672	4.596093
673	4.596398
674	4.595986
675	4.592545
676	4.589041
677	4.585474
678	4.576886
679	4.563142
680	4.536415
681	4.498003
682	4.452601
683	4.396822
684	4.344755
685	4.298528
686	4.261355
687	4.227825
688	4.199960
689	4.178520
690	4.162280
691	4.164970
692	4.176416
693	4.202872
694	4.231607
695	4.260942
696	4.288563
697	4.311723
698	4.330978
699	4.349095
700	4.366045
701	4.380878
702	4.393317
703	4.404602
704	4.413981
705	4.424450
706	4.435726
707	4.437659
708	4.437024
709	4.432802
710	4.409191
711	4.375693
712	4.324883
713	4.265640
714	4.202173
715	4.137281
716	4.077410
717	4.021811
718	3.971131
719	3.920773
720	3.870749
721	3.835491
722	3.808874
723	3.797111
724	3.801106
725	3.813654
726	3.839016
727	3.869006
728	3.901994
729	3.937591
730	3.977901
731	4.022350
732	4.072941
733	4.121141
734	4.166321
735	4.209557
736	4.251578
737	4.291847
738	4.323919
739	4.352503
740	4.376712
741	4.398510
742	4.418703
743	4.436174
744	4.446483
745	4.454140
746	4.461309
747	4.462125
748	4.457604
749	4.441787
750	4.417487
751	4.382142
752	4.312797
753	4.216445
754	4.099553
755	3.947384
756	3.782933
757	3.614218
758	3.456440
759	3.326400
760	3.219087
761	3.153958
762	3.130100
763	3.136555
764	3.188927
765	3.273713
766	3.381800
767	3.523635
768	3.673931
769	3.821722
770	3.956218
771	4.070365
772	4.169551
773	4.248926
774	4.299086
775	4.337414
776	4.364712
777	4.374396
778	4.382618
779	4.389713
780	4.383579
