Wavelength(nm)	PFD(umol m-2 s-1)
380	0.034120
381	0.035860
382	0.037870
383	0.039930
384	0.042702
385	0.045677
386	0.049920
387	0.054041
388	0.057749
389	0.062759
390	0.070021
391	0.077391
392	0.084874
393	0.096796
394	0.111690
395	0.129164
396	0.147694
397	0.167781
398	0.188244
399	0.210923
400	0.233652
401	0.254841
402	0.276461
403	0.299476
404	0.320191
405	0.336004
406	0.351727
407	0.367320
408	0.381331
409	0.394164
410	0.406985
411	0.419834
412	0.431431
413	0.442792
414	0.451276
415	0.459689
416	0.468935
417	0.477347
418	0.482259
419	0.486996
420	0.491353
421	0.495071
422	0.498014
423	0.499356
424	0.499549
425	0.497715
426	0.495055
427	0.496808
428	0.499383
429	0.504668
430	0.510299
431	0.518096
432	0.525682
433	0.532539
434	0.541631
435	0.554434
436	0.569729
437	0.587425
438	0.601508
439	0.613615
440	0.624724
441	0.635580
442	0.645429
443	0.655493
444	0.670886
445	0.685944
446	0.699328
447	0.711024
448	0.719139
449	0.727223
450	0.735265
451	0.744555
452	0.754681
453	0.762067
454	0.768525
455	0.773688
456	0.778711
457	0.784133
458	0.789738
459	0.796155
460	0.801747
461	0.805556
462	0.808708
463	0.811101
464	0.813441
465	0.815749
466	0.817846
467	0.819879
468	0.822009
469	0.824299
470	0.828785
471	0.833457
472	0.838777
473	0.844564
474	0.851140
475	0.857737
476	0.864354
477	0.869563
478	0.874113
479	0.874203
480	0.873417
481	0.870859
482	0.868567
483	0.867842
484	0.867682
485	0.868758
486	0.869331
487	0.869353
488	0.870554
489	0.872413
490	0.878414
491	0.885419
492	0.895104
493	0.904247
494	0.909509
495	0.913773
496	0.915797
497	0.918322
498	0.921390
499	0.923325
500	0.924656
501	0.926746
502	0.928998
503	0.932022
504	0.935151
505	0.938752
506	0.943059
507	0.948650
508	0.953086
509	0.956507
510	0.956711
511	0.955613
512	0.952837
513	0.950014
514	0.949110
515	0.948723
516	0.949803
517	0.951563
518	0.954162
519	0.957878
520	0.962236
521	0.968579
522	0.975426
523	0.986245
524	0.997049
525	1.007707
526	1.017206
527	1.024979
528	1.031622
529	1.037516
530	1.043597
531	1.049738
532	1.057257
533	1.064294
534	1.069279
