Model Name	LI-180
Serial Number	A21M0027
Time	2024/06/12_10:54:09
PPFD	302.148346
PFD	404.355927
PFD-UV	1.844971
PFD-B	67.523529
PFD-G	109.815208
PFD-R	124.809685
PFD-FR	100.362465
Custom1(380~780nm)	404.355927
Custom2(380~780nm)	404.355927
Custom3(380~780nm)	404.355927
Custom4(380~780nm)	404.355927
UV%	0.456274
B%	16.699036
G%	27.158060
R%	30.866299
FR%	24.820332
Custom1%	100.000000
Custom2%	100.000000
Custom3%	100.000000
Custom4%	100.000000
R:B	1.848388
R:FR	1.243589
R:G	1.136543
B:G	0.614883
UV:B	0.027323
UV:FR	0.018383
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
Ratio1	0.000000
Ratio2	0.000000
Ratio3	0.000000
Ratio4	0.000000
LambdaP	581.000000
LambdaPV	248.581146
LambdaD	573.000000
LUX	17377.894531
IRR	81.361206
fc	1615.046021
I-Time	41.000000
380nm	10.741055
381nm	11.259240
382nm	11.859205
383nm	12.471661
384nm	13.302795
385nm	14.192579
386nm	15.470757
387nm	16.704756
388nm	17.805023
389nm	19.299736
390nm	21.478006
391nm	23.677910
392nm	25.900881
393nm	29.464146
394nm	33.911526
395nm	39.117661
396nm	44.616451
397nm	50.556721
398nm	56.580242
399nm	63.238224
400nm	69.877441
401nm	76.024261
402nm	82.268990
403nm	88.896484
404nm	94.810356
405nm	99.246895
406nm	103.635078
407nm	107.963783
408nm	111.807251
409nm	115.287125
410nm	118.746834
411nm	122.197723
412nm	125.268456
413nm	128.255920
414nm	130.397568
415nm	132.508377
416nm	134.848785
417nm	136.938553
418nm	138.016586
419nm	139.039764
420nm	139.949585
421nm	140.673615
422nm	141.174667
423nm	141.220535
424nm	140.941818
425nm	140.094086
426nm	139.018066
427nm	139.183762
428nm	139.578278
429nm	140.726563
430nm	141.965836
431nm	143.800507
432nm	145.568298
433nm	147.126495
434nm	149.293823
435nm	152.471359
436nm	156.318161
437nm	160.804596
438nm	164.283844
439nm	167.208725
440nm	169.849106
441nm	172.408783
442nm	174.684158
443nm	177.007706
444nm	180.756287
445nm	184.397964
446nm	187.574448
447nm	190.285004
448nm	192.027100
449nm	193.753113
450nm	195.460556
451nm	197.491333
452nm	199.734283
453nm	201.243896
454nm	202.502228
455nm	203.414734
456nm	204.286270
457nm	205.258530
458nm	206.274460
459nm	207.497299
460nm	208.500565
461nm	209.036713
462nm	209.400360
463nm	209.566467
464nm	209.718124
465nm	209.860672
466nm	209.948807
467nm	210.020020
468nm	210.115753
469nm	210.251831
470nm	210.946259
471nm	211.685043
472nm	212.584793
473nm	213.598846
474nm	214.807907
475nm	216.017044
476nm	217.226242
477nm	218.077133
478nm	218.759598
479nm	218.325500
480nm	217.674698
481nm	216.585953
482nm	215.567764
483nm	214.941895
484nm	214.458313
485nm	214.281586
486nm	213.981628
487nm	213.547668
488nm	213.404480
489nm	213.422958
490nm	214.452301
491nm	215.722336
492nm	217.638626
493nm	219.415848
494nm	220.245789
495nm	220.831268
496nm	220.874359
497nm	221.037674
498nm	221.330673
499nm	221.351212
500nm	221.226883
501nm	221.284332
502nm	221.380173
503nm	221.659225
504nm	221.962082
505nm	222.375702
506nm	222.954346
507nm	223.833832
508nm	224.437927
509nm	224.800888
510nm	224.407990
511nm	223.711639
512nm	222.626221
513nm	221.533920
514nm	220.892563
515nm	220.373688
516nm	220.196945
517nm	220.178482
518nm	220.353485
519nm	220.785507
520nm	221.363449
521nm	222.395050
522nm	223.538147
523nm	225.585236
524nm	227.621307
525nm	229.616135
526nm	231.339951
527nm	232.665451
528nm	233.729965
529nm	234.620972
530nm	235.550858
531nm	236.490585
532nm	237.736969
533nm	238.870346
534nm	239.539566
535nm	239.908463
536nm	239.825546
537nm	239.936539
538nm	240.175171
539nm	240.668564
540nm	241.218933
541nm	241.553757
542nm	241.895126
543nm	242.259094
544nm	242.685745
545nm	243.193970
546nm	243.804062
547nm	244.469788
548nm	245.144806
549nm	245.793793
550nm	246.110382
551nm	246.370728
552nm	246.496094
553nm	246.466660
554nm	246.290482
555nm	246.054520
556nm	245.796936
557nm	245.814346
558nm	245.801102
559nm	245.594543
560nm	245.391296
561nm	245.192871
562nm	245.138351
563nm	245.166107
564nm	245.245056
565nm	245.330048
566nm	245.397797
567nm	245.457031
568nm	245.499084
569nm	245.582184
570nm	245.696640
571nm	245.774841
572nm	245.849075
573nm	246.032547
574nm	246.274597
575nm	246.664658
576nm	247.115784
577nm	247.621887
578nm	248.007584
579nm	248.354492
580nm	248.531113
581nm	248.581146
582nm	248.281036
583nm	247.826019
584nm	247.225616
585nm	246.630798
586nm	246.034897
587nm	245.315338
588nm	244.608688
589nm	243.935608
590nm	243.411743
591nm	243.017136
592nm	242.740494
593nm	242.529160
594nm	242.891968
595nm	243.325516
596nm	243.908478
597nm	244.422806
598nm	244.888840
599nm	245.340317
600nm	245.761841
601nm	245.989487
602nm	246.202972
603nm	246.394852
604nm	246.436707
605nm	246.404495
606nm	246.269775
607nm	246.099182
608nm	245.824158
609nm	245.325989
610nm	244.606979
611nm	243.851974
612nm	243.110672
613nm	242.691742
614nm	242.312042
615nm	242.003952
616nm	241.678802
617nm	241.344147
618nm	241.019043
619nm	240.674149
620nm	240.258240
621nm	239.867950
622nm	239.501495
