Model Name	LI-180
Serial Number	A21M0027
Time	2024/06/12_10:53:32
PPFD	507.320648
PFD	679.280884
PFD-UV	3.098132
PFD-B	113.589066
PFD-G	183.728119
PFD-R	210.003464
PFD-FR	168.862198
Custom1(380~780nm)	679.280884
Custom2(380~780nm)	679.280884
Custom3(380~780nm)	679.280884
Custom4(380~780nm)	679.280884
UV%	0.456090
B%	16.721956
G%	27.047441
R%	30.915552
FR%	24.858961
Custom1%	100.000000
Custom2%	100.000000
Custom3%	100.000000
Custom4%	100.000000
R:B	1.848800
R:FR	1.243638
R:G	1.143012
B:G	0.618245
UV:B	0.027275
UV:FR	0.018347
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
Ratio1	0.000000
Ratio2	0.000000
Ratio3	0.000000
Ratio4	0.000000
LambdaP	580.000000
LambdaPV	414.761749
LambdaD	573.000000
LUX	29081.353516
IRR	136.663162
fc	2702.728027
I-Time	24.000000
380nm	17.005711
381nm	17.828159
382nm	18.884220
383nm	19.971779
384nm	21.400866
385nm	22.944120
386nm	25.243429
387nm	27.442072
388nm	29.335987
389nm	31.951107
390nm	35.816029
391nm	39.671066
392nm	43.515560
393nm	49.755302
394nm	57.575047
395nm	66.464767
396nm	75.767181
397nm	86.048820
398nm	96.515129
399nm	107.895912
400nm	119.235680
401nm	129.710220
402nm	140.385025
403nm	151.842758
404nm	162.070969
405nm	169.753845
406nm	177.148331
407nm	184.187958
408nm	190.498383
409nm	196.262405
410nm	202.068817
411nm	207.893753
412nm	212.774780
413nm	217.449051
414nm	221.109177
415nm	224.722153
416nm	228.478760
417nm	231.821045
418nm	233.490906
419nm	235.134842
420nm	236.725220
421nm	237.904343
422nm	238.589981
423nm	238.426758
424nm	237.658188
425nm	236.064377
426nm	234.139450
427nm	234.308304
428nm	234.862976
429nm	236.756882
430nm	238.801300
431nm	241.812042
432nm	244.711304
433nm	247.261246
434nm	250.872696
435nm	256.244598
436nm	262.693481
437nm	270.171661
438nm	275.913269
439nm	280.699036
440nm	284.976074
441nm	289.108795
442nm	292.957947
443nm	296.894348
444nm	302.996979
445nm	308.985992
446nm	314.480835
447nm	319.101715
448nm	321.906158
449nm	324.772827
450nm	327.711456
451nm	331.162445
452nm	334.949646
453nm	337.503876
454nm	339.635651
455nm	341.152191
456nm	342.594299
457nm	344.165710
458nm	345.860321
459nm	348.138489
460nm	349.978271
461nm	350.885254
462nm	351.443604
463nm	351.602814
464nm	351.846283
465nm	352.142761
466nm	352.542786
467nm	352.975037
468nm	353.058594
469nm	353.171387
470nm	354.204041
471nm	355.381287
472nm	357.083313
473nm	358.967621
474nm	361.162933
475nm	363.257263
476nm	365.259979
477nm	366.569397
478nm	367.552917
479nm	366.947754
480nm	366.034271
481nm	364.173218
482nm	362.461609
483nm	361.581451
484nm	360.793732
485nm	360.205231
486nm	359.682190
487nm	359.230286
488nm	358.886383
489nm	358.602570
490nm	360.272003
491nm	362.406555
492nm	365.709351
493nm	368.745667
494nm	369.977966
495nm	370.854828
496nm	370.943085
497nm	371.231476
498nm	371.735809
499nm	371.790405
500nm	371.605896
501nm	371.586060
502nm	371.601135
503nm	372.027557
504nm	372.518677
505nm	373.310913
506nm	374.350372
507nm	375.840485
508nm	376.789246
509nm	377.264008
510nm	376.685028
511nm	375.682953
512nm	373.869324
513nm	372.019073
514nm	370.848633
515nm	369.930847
516nm	369.718933
517nm	369.709442
518nm	369.947296
519nm	370.747589
520nm	371.867126
521nm	373.525940
522nm	375.328796
523nm	378.825104
524nm	382.249451
525nm	385.404480
526nm	388.156830
527nm	390.317383
528nm	392.054291
529nm	393.509552
530nm	395.095276
531nm	396.714020
532nm	398.657379
533nm	400.440765
534nm	401.568542
535nm	402.183289
536nm	402.026215
537nm	402.196228
538nm	402.581573
539nm	403.284882
540nm	404.057312
541nm	404.433228
542nm	404.851563
543nm	405.416565
544nm	406.078125
545nm	406.865295
546nm	407.971130
547nm	409.251099
548nm	410.231384
549nm	411.130310
550nm	411.633118
551nm	411.957581
552nm	411.854004
553nm	411.760864
554nm	411.677612
555nm	411.331177
556nm	410.889526
557nm	410.738068
558nm	410.577179
559nm	410.315521
560nm	410.028961
561nm	409.706360
562nm	409.595581
563nm	409.605927
564nm	409.726288
565nm	409.862885
566nm	409.992035
567nm	410.136078
568nm	410.310181
569nm	410.450348
570nm	410.564484
571nm	410.656494
572nm	410.751984
573nm	411.046265
574nm	411.441956
575nm	412.093781
576nm	412.768707
577nm	413.464447
578nm	414.112030
579nm	414.734833
580nm	414.761749
581nm	414.638977
582nm	414.102173
583nm	413.414307
584nm	412.584656
585nm	411.580017
586nm	410.517059
587nm	409.209412
588nm	407.963257
589nm	406.876831
590nm	405.948700
591nm	405.157654
592nm	404.703949
593nm	404.388519
594nm	404.920807
595nm	405.640442
596nm	406.756012
597nm	407.674530
598nm	408.454346
599nm	409.044159
600nm	409.607880
601nm	410.215912
602nm	410.694153
603nm	410.974365
604nm	411.100128
605nm	411.149597
606nm	410.922638
607nm	410.618408
608nm	410.100647
609nm	409.414368
610nm	408.561340
611nm	407.497223
612nm	406.385742
613nm	405.419312
614nm	404.712036
615nm	404.477814
616nm	404.103394
617nm	403.650757
618nm	403.067566
619nm	402.478638
620nm	401.903046
621nm	401.327515
622nm	400.751984
623nm	400.114258
624nm	399.431122
625nm	398.502441
626nm	397.522064
627nm	396.468323
628nm	395.769592
629nm	395.222504
630nm	395.190186
631nm	395.205048
632nm	395.316895
633nm	395.623627
634nm	396.041718
635nm	396.454010
636nm	396.822235
637nm	397.068970
638nm	397.019012
639nm	396.756744
640nm	396.184296
641nm	395.447845
642nm	394.261444
643nm	393.082642
644nm	391.910095
645nm	390.655334
