Wavelength(nm)	PFD(umol m-2 s-1)
380	0.236174
381	0.240348
382	0.242394
383	0.244213
384	0.246582
385	0.249424
386	0.255360
387	0.259955
388	0.260419
389	0.263964
390	0.272879
391	0.278888
392	0.281773
393	0.292589
394	0.308693
395	0.325790
396	0.343324
397	0.361271
398	0.379368
399	0.402774
400	0.426036
401	0.444198
402	0.463114
403	0.484734
404	0.501813
405	0.509332
406	0.516831
407	0.524295
408	0.530657
409	0.536193
410	0.543400
411	0.551361
412	0.558899
413	0.566366
414	0.571333
415	0.576332
416	0.583414
417	0.589491
418	0.591409
419	0.593683
420	0.596691
421	0.598303
422	0.598227
423	0.597061
424	0.595108
425	0.591427
426	0.587032
427	0.587623
428	0.589135
429	0.593821
430	0.598950
431	0.606976
432	0.614889
433	0.622381
434	0.632087
435	0.645467
436	0.662222
437	0.682228
438	0.698085
439	0.711670
440	0.723243
441	0.734272
442	0.745029
443	0.756064
444	0.772225
445	0.788195
446	0.803105
447	0.816064
448	0.824884
449	0.833512
450	0.841911
451	0.851434
452	0.861710
453	0.869138
454	0.875599
455	0.880453
456	0.885133
457	0.890494
458	0.896102
459	0.902827
460	0.908879
461	0.913470
462	0.916946
463	0.919137
464	0.921584
465	0.924195
466	0.926538
467	0.928798
468	0.931170
469	0.933641
470	0.937381
471	0.941470
472	0.946808
473	0.952692
474	0.959504
475	0.966493
476	0.973644
477	0.979212
478	0.984040
479	0.984602
480	0.984326
481	0.981206
482	0.978517
483	0.978334
484	0.978303
485	0.978614
486	0.978658
487	0.978412
488	0.978815
489	0.979580
490	0.985619
491	0.992935
492	1.001623
493	1.009657
494	1.013358
495	1.016057
496	1.016514
497	1.016832
498	1.016999
499	1.016319
500	1.015179
501	1.015004
502	1.015026
503	1.015113
504	1.015629
505	1.018170
506	1.021191
507	1.025088
508	1.028409
509	1.031225
510	1.030829
511	1.029130
512	1.025537
513	1.021848
514	1.019854
515	1.018374
516	1.018361
517	1.018883
518	1.020064
519	1.022053
520	1.024504
521	1.029216
522	1.034474
523	1.043188
524	1.051774
525	1.059813
526	1.066417
527	1.070894
528	1.074799
529	1.078323
530	1.082073
531	1.085886
532	1.090919
533	1.095567
534	1.098591
535	1.100382
536	1.100307
537	1.100975
538	1.102133
539	1.104211
540	1.106489
541	1.107535
542	1.108675
543	1.110147
544	1.112336
545	1.115465
546	1.119364
547	1.123689
548	1.127231
549	1.130610
550	1.133521
551	1.136028
552	1.137557
553	1.138158
554	1.137877
555	1.137853
556	1.137919
557	1.137630
558	1.137201
559	1.136240
560	1.135076
561	1.133622
562	1.132648
563	1.131945
564	1.130474
565	1.128813
566	1.126577
567	1.124363
568	1.122206
569	1.120404
570	1.118874
571	1.117414
572	1.116039
573	1.116358
574	1.117419
575	1.120369
576	1.124460
577	1.129585
578	1.134100
579	1.138425
580	1.142007
581	1.145084
582	1.146750
583	1.146421
584	1.144211
585	1.141775
586	1.139234
587	1.135481
588	1.131819
589	1.128420
590	1.125680
591	1.123512
592	1.123385
593	1.124043
594	1.129024
595	1.134998
596	1.143065
597	1.151094
598	1.159102
599	1.166727
600	1.174316
601	1.182015
602	1.189176
603	1.195503
604	1.201142
605	1.206446
606	1.210935
607	1.215111
608	1.218333
609	1.220663
610	1.222108
611	1.223378
612	1.224597
613	1.225814
614	1.227372
615	1.229556
616	1.231730
617	1.233901
618	1.234587
619	1.235074
620	1.235256
621	1.234534
622	1.232968
623	1.230259
624	1.227350
625	1.225007
626	1.222498
627	1.219759
628	1.218862
629	1.218747
630	1.221092
631	1.224471
632	1.229982
633	1.236766
634	1.244288
635	1.252622
636	1.260452
637	1.266723
638	1.271673
639	1.275675
640	1.277772
641	1.278920
642	1.277499
643	1.275489
644	1.272992
645	1.269289
646	1.265891
647	1.264382
648	1.261626
649	1.257783
650	1.253186
651	1.249131
652	1.247683
653	1.249468
654	1.253997
655	1.261232
656	1.268868
657	1.276602
658	1.284788
659	1.293321
660	1.304378
661	1.316074
662	1.328862
663	1.340710
664	1.351979
665	1.359173
666	1.365229
667	1.369173
668	1.373014
669	1.376766
670	1.379582
671	1.381922
672	1.383564
673	1.385339
674	1.386930
675	1.387142
676	1.386533
677	1.385127
678	1.382663
679	1.377856
680	1.366658
681	1.349724
682	1.329388
683	1.306018
684	1.283256
685	1.261474
686	1.243209
687	1.226400
688	1.212019
689	1.200421
690	1.191076
691	1.191280
692	1.195024
693	1.204618
694	1.216438
695	1.228810
696	1.239397
697	1.249087
698	1.257993
699	1.268344
700	1.278171
701	1.286786
702	1.294137
703	1.300954
704	1.307141
705	1.313363
706	1.319615
707	1.323236
708	1.324925
709	1.323857
710	1.312496
711	1.296448
712	1.272848
713	1.243984
714	1.212607
715	1.181273
716	1.151820
717	1.123967
718	1.096936
719	1.071023
720	1.046727
721	1.029587
722	1.016590
723	1.010681
724	1.011631
725	1.016468
726	1.027631
727	1.041493
728	1.057187
729	1.075415
730	1.096327
731	1.119597
732	1.144706
733	1.170860
734	1.198260
735	1.225477
736	1.251222
737	1.274524
738	1.295450
739	1.315234
740	1.333439
741	1.347099
742	1.359501
743	1.371800
744	1.381301
745	1.389056
746	1.394100
747	1.396083
748	1.396262
749	1.394241
750	1.386290
751	1.373134
752	1.348370
753	1.310806
754	1.264207
755	1.204475
756	1.138833
757	1.071153
758	1.008753
759	0.955702
760	0.910731
761	0.881948
762	0.869977
763	0.870503
764	0.890320
765	0.923688
766	0.966812
767	1.024092
768	1.086787
769	1.148968
770	1.205443
771	1.255384
772	1.299288
773	1.334449
774	1.358272
775	1.376892
776	1.390358
777	1.397555
778	1.401490
779	1.402395
780	1.403233
