Wavelength(nm)	PFD(umol m-2 s-1)
380	0.054020
381	0.056781
382	0.060302
383	0.063942
384	0.068697
385	0.073842
386	0.081453
387	0.088777
388	0.095149
389	0.103898
390	0.116765
391	0.129665
392	0.142595
393	0.163457
394	0.189628
395	0.219463
396	0.250812
397	0.285567
398	0.321108
399	0.359874
400	0.398693
401	0.434801
402	0.471758
403	0.511530
404	0.547342
405	0.574708
406	0.601223
407	0.626654
408	0.649716
409	0.671016
410	0.692557
411	0.714259
412	0.732807
413	0.750723
414	0.765208
415	0.779590
416	0.794532
417	0.808093
418	0.815866
419	0.823575
420	0.831125
421	0.837253
422	0.841661
423	0.843078
424	0.842347
425	0.838671
426	0.833790
427	0.836350
428	0.840293
429	0.849048
430	0.858376
431	0.871219
432	0.883711
433	0.894986
434	0.910155
435	0.931786
436	0.957432
437	0.986946
438	1.010227
439	1.030096
440	1.048174
441	1.065791
442	1.082430
443	1.099456
444	1.124588
445	1.149400
446	1.172469
447	1.192364
448	1.205535
449	1.218985
450	1.232754
451	1.248504
452	1.265582
453	1.278054
454	1.288966
455	1.297573
456	1.305922
457	1.314789
458	1.324154
459	1.335787
460	1.345771
461	1.352192
462	1.357282
463	1.360836
464	1.364719
465	1.368813
466	1.373315
467	1.377949
468	1.381227
469	1.384620
470	1.391630
471	1.399226
472	1.408912
473	1.419348
474	1.431047
475	1.442382
476	1.453387
477	1.461662
478	1.468656
479	1.469306
480	1.468708
481	1.464284
482	1.460432
483	1.459909
484	1.459744
485	1.460374
486	1.461260
487	1.462427
488	1.464027
489	1.465867
490	1.475703
491	1.487476
492	1.504089
493	1.519659
494	1.527830
495	1.534552
496	1.538018
497	1.542317
498	1.547519
499	1.550854
500	1.553191
501	1.556215
502	1.559384
503	1.564283
504	1.569463
505	1.575921
506	1.583438
507	1.592883
508	1.600054
509	1.605224
510	1.605909
511	1.604777
512	1.600155
513	1.595346
514	1.593427
515	1.592576
516	1.594754
517	1.597804
518	1.601924
519	1.608489
520	1.616454
521	1.626788
522	1.637777
523	1.656200
524	1.674366
525	1.691408
526	1.706732
527	1.719495
528	1.730424
529	1.740137
530	1.750451
531	1.760939
532	1.772898
533	1.784177
534	1.792558
535	1.798665
536	1.801323
537	1.805447
538	1.810542
539	1.817076
540	1.823934
541	1.829011
542	1.834288
543	1.840237
544	1.846634
545	1.853615
546	1.862063
547	1.871326
548	1.879238
549	1.886793
550	1.892541
551	1.897477
552	1.900442
553	1.903455
554	1.906511
555	1.908345
556	1.909731
557	1.912461
558	1.915144
559	1.917353
560	1.919442
561	1.921356
562	1.924261
563	1.927734
564	1.931725
565	1.935795
566	1.939832
567	1.943942
568	1.948197
569	1.952294
570	1.956269
571	1.960140
572	1.964030
573	1.968873
574	1.974208
575	1.980780
576	1.987475
577	1.994281
578	2.000866
579	2.007342
580	2.010940
581	2.013811
582	2.014665
583	2.014774
584	2.014180
585	2.012716
586	2.010949
587	2.007965
588	2.005260
589	2.003321
590	2.002145
591	2.001630
592	2.002772
593	2.004591
594	2.010615
595	2.017579
596	2.026528
597	2.034512
598	2.041818
599	2.048186
600	2.054433
601	2.060911
602	2.066747
603	2.071593
604	2.075663
605	2.079350
606	2.081637
607	2.083529
608	2.084330
609	2.084264
610	2.083337
611	2.081317
612	2.079037
613	2.077482
614	2.077241
615	2.079420
616	2.080873
617	2.081917
618	2.082278
619	2.082600
620	2.082981
621	2.083353
622	2.083716
623	2.083744
624	2.083526
625	2.082013
626	2.080214
627	2.078014
628	2.077660
629	2.078092
630	2.081225
631	2.084607
632	2.088502
633	2.093429
634	2.098952
635	2.104451
636	2.109723
637	2.114354
638	2.117407
639	2.119325
640	2.119579
641	2.118945
642	2.115883
643	2.112843
644	2.109816
645	2.106327
646	2.102969
647	2.100427
648	2.096668
649	2.091846
650	2.083390
651	2.074969
652	2.068916
653	2.066768
654	2.067931
655	2.071899
656	2.076660
657	2.082860
658	2.089244
659	2.095771
660	2.105638
661	2.116728
662	2.130336
663	2.142291
664	2.153220
665	2.158034
666	2.161449
667	2.162356
668	2.162636
669	2.162685
670	2.164170
671	2.165226
672	2.165657
673	2.165460
674	2.165218
675	2.165883
676	2.166066
677	2.165780
678	2.162694
679	2.157341
680	2.146514
681	2.130850
682	2.112292
683	2.089489
684	2.070045
685	2.055837
686	2.043185
687	2.031884
688	2.025318
689	2.021897
690	2.021025
691	2.030267
692	2.042511
693	2.059461
694	2.079767
695	2.100750
696	2.118024
697	2.133329
698	2.146912
699	2.159458
700	2.172015
701	2.184707
702	2.195046
703	2.204427
704	2.212845
705	2.220485
706	2.227552
707	2.233560
708	2.237390
709	2.238087
710	2.229310
711	2.215470
712	2.192476
713	2.163145
714	2.131035
715	2.100943
716	2.073622
717	2.048661
718	2.023936
719	2.000270
720	1.978159
721	1.962239
722	1.950985
723	1.948533
724	1.953148
725	1.961853
726	1.977454
727	1.992588
728	2.007848
729	2.027613
730	2.050462
731	2.076017
732	2.101640
733	2.127200
734	2.152671
735	2.177713
736	2.200790
737	2.220650
738	2.238391
739	2.255210
740	2.270838
741	2.282517
742	2.292340
743	2.299926
744	2.308131
745	2.315268
746	2.317849
747	2.320513
748	2.321491
749	2.315165
750	2.303345
751	2.285846
752	2.253463
753	2.204846
754	2.144601
755	2.066818
756	1.983482
757	1.898955
758	1.823146
759	1.758822
760	1.705550
761	1.677375
762	1.668434
763	1.673602
764	1.700095
765	1.747396
766	1.806368
767	1.876487
768	1.951540
769	2.025752
770	2.093797
771	2.154773
772	2.206753
773	2.244543
774	2.271464
775	2.292070
776	2.305842
777	2.312715
778	2.317994
779	2.321797
780	2.320782
