Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_17:20:51
PPFD	106.784248
PFD	107.643166
PFD-UV	0.180365
PFD-B	105.445030
PFD-G	0.749070
PFD-R	0.590133
PFD-FR	0.678537
RFR(600~780nm)	1.268670
CHLB(430~480nm)	95.891747
Custom3(380~780nm)	107.643166
Custom4(380~780nm)	107.643166
UV%	0.167558
B%	97.957970
G%	0.695883
R%	0.548231
FR%	0.630358
RFR%	1.178589
CHLB%	89.082985
Custom3%	100.000000
Custom4%	100.000000
R:B	0.005597
R:FR	0.869714
R:G	0.787821
B:G	140.767960
UV:B	0.001711
UV:FR	0.265815
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	0.869714
BRAT(CHLB:PFD-B)	0.909400
Ratio3	0.000000
Ratio4	0.000000
LambdaP	443.000000
LambdaPV	1175.304565
LambdaD	448.000000
LUX	745.498535
IRR	28.813637
fc	69.284248
I-Time	10.000000
380nm	2.978079
381nm	3.476698
382nm	3.120251
383nm	2.674709
384nm	2.752218
385nm	2.864919
386nm	3.210677
387nm	3.347530
388nm	2.852020
389nm	2.491519
390nm	2.364982
391nm	2.322661
392nm	2.370133
393nm	2.423050
394nm	2.479561
395nm	2.718401
396nm	3.027568
397nm	2.791808
398nm	2.453284
399nm	2.673460
400nm	2.931331
401nm	3.360176
402nm	3.808493
403nm	4.332927
404nm	4.802186
405nm	5.157225
406nm	5.736681
407nm	6.592246
408nm	8.005836
409nm	9.837559
410nm	11.540247
411nm	13.186490
412nm	16.318295
413nm	19.775507
414nm	24.106932
415nm	28.655338
416nm	35.361347
417nm	42.605576
418nm	52.022373
419nm	62.411407
420nm	74.808952
421nm	89.642517
422nm	107.399490
423nm	128.316208
424nm	151.486374
425nm	180.050140
426nm	210.777985
427nm	249.626343
428nm	289.971191
429nm	341.165161
430nm	394.004700
431nm	458.174316
432nm	525.195496
433nm	601.152832
434nm	680.339050
435nm	764.880127
436nm	848.005005
437nm	929.776489
438nm	1002.473450
439nm	1070.175659
440nm	1117.248291
441nm	1158.468018
442nm	1169.155151
443nm	1175.304565
444nm	1149.813965
445nm	1119.368530
446nm	1067.365601
447nm	1010.130859
448nm	942.021545
449nm	871.196106
450nm	797.230225
451nm	726.501648
452nm	657.897400
453nm	596.803955
454nm	538.284363
455nm	489.006073
456nm	441.177338
457nm	402.097565
458nm	364.096161
459nm	331.201508
460nm	299.430176
461nm	270.049103
462nm	242.301727
463nm	216.424866
464nm	192.700790
465nm	170.330719
466nm	151.379547
467nm	133.492294
468nm	119.075615
469nm	105.194145
470nm	94.295036
471nm	83.974983
472nm	75.756012
473nm	67.934631
474nm	60.791584
475nm	54.396000
476nm	48.678619
477nm	43.811745
478nm	39.344662
479nm	35.522495
480nm	31.825493
481nm	28.401833
482nm	25.120649
483nm	22.605963
484nm	20.279032
485nm	18.357061
486nm	16.695154
487nm	15.316040
488nm	13.998553
489nm	12.715332
490nm	11.706549
491nm	10.763113
492nm	9.780218
493nm	8.849127
494nm	8.238378
