Wavelength(nm)	PFD(umol m-2 s-1)
380	0.010905
381	0.010062
382	0.009750
383	0.009505
384	0.009812
385	0.010245
386	0.011511
387	0.012033
388	0.010278
389	0.009027
390	0.008661
391	0.009165
392	0.010605
393	0.010570
394	0.009555
395	0.010106
396	0.011268
397	0.010367
398	0.009069
399	0.011133
400	0.013195
401	0.013615
402	0.014120
403	0.014951
404	0.016342
405	0.018892
406	0.021773
407	0.025061
408	0.029707
409	0.035383
410	0.042485
411	0.050234
412	0.060497
413	0.071353
414	0.087047
415	0.103645
416	0.127493
417	0.153148
418	0.185770
419	0.222389
420	0.267137
421	0.320616
422	0.384595
423	0.461524
424	0.547856
425	0.653375
426	0.766940
427	0.910508
428	1.060184
429	1.254799
430	1.456973
431	1.705972
432	1.968054
433	2.268842
434	2.583229
435	2.919370
436	3.255011
437	3.590228
438	3.893861
439	4.180592
440	4.387208
441	4.571579
442	4.632458
443	4.675270
444	4.592980
445	4.489110
446	4.292446
447	4.073351
448	3.808435
449	3.531775
450	3.241652
451	2.961701
452	2.688036
453	2.444414
454	2.210432
455	2.013595
456	1.821893
457	1.666180
458	1.513993
459	1.381180
460	1.251191
461	1.127910
462	1.013181
463	0.908385
464	0.811102
465	0.718417
466	0.639284
467	0.564157
468	0.503817
469	0.445555
470	0.400153
471	0.356792
472	0.321380
473	0.288931
474	0.261670
475	0.235721
476	0.210961
477	0.189918
478	0.170585
479	0.153923
480	0.137726
481	0.122824
482	0.108819
483	0.099932
484	0.091508
485	0.084129
486	0.076361
487	0.068172
488	0.061594
489	0.055904
490	0.051384
491	0.047129
492	0.043775
493	0.040380
494	0.036668
495	0.033501
496	0.031570
497	0.029884
498	0.028463
499	0.026850
500	0.025132
501	0.023197
502	0.021211
503	0.020268
504	0.019094
505	0.016848
506	0.015318
507	0.015102
508	0.014328
509	0.013060
510	0.013117
511	0.013710
512	0.012997
513	0.012201
514	0.012240
515	0.012149
516	0.011691
517	0.011545
518	0.011781
519	0.011194
520	0.010137
521	0.009895
522	0.009821
523	0.009598
524	0.009225
525	0.008288
526	0.007639
527	0.007414
528	0.007834
529	0.008685
530	0.009481
531	0.010265
532	0.009782
533	0.009168
534	0.008041
535	0.007797
536	0.008890
537	0.008645
538	0.007513
539	0.007369
540	0.007450
541	0.006891
542	0.006709
543	0.007842
544	0.008244
545	0.007687
546	0.007561
547	0.007670
548	0.008504
549	0.009307
550	0.008276
551	0.007668
552	0.008086
553	0.008663
554	0.009394
555	0.007993
556	0.005812
557	0.006482
558	0.007168
559	0.007336
560	0.007569
561	0.007897
562	0.007978
563	0.007918
564	0.008502
565	0.009007
566	0.007845
567	0.007273
568	0.007900
569	0.007685
570	0.006821
571	0.007233
572	0.007925
573	0.007887
574	0.007969
575	0.008353
576	0.008051
577	0.007128
578	0.006121
579	0.005128
580	0.006482
581	0.007226
582	0.006271
583	0.006571
584	0.008055
585	0.009145
586	0.010051
587	0.007980
588	0.006519
589	0.006657
590	0.006945
591	0.007364
592	0.006560
593	0.005592
594	0.007136
595	0.007788
596	0.006543
597	0.006088
598	0.006192
599	0.006299
600	0.006287
601	0.005426
602	0.005026
603	0.005335
604	0.006780
605	0.008791
606	0.007330
607	0.006153
608	0.006684
609	0.006399
610	0.005303
611	0.006603
612	0.008331
613	0.006813
614	0.005797
615	0.005707
616	0.006214
617	0.007057
618	0.006737
619	0.006284
620	0.005665
621	0.005481
622	0.005701
623	0.006444
624	0.007226
625	0.007360
626	0.007943
627	0.009166
628	0.009318
629	0.009027
630	0.007975
631	0.007025
632	0.006290
633	0.007190
634	0.009029
635	0.008843
636	0.008635
637	0.008670
638	0.007626
639	0.005805
640	0.006379
641	0.006951
642	0.006624
643	0.006423
644	0.006326
645	0.007688
646	0.008945
647	0.008981
648	0.009211
649	0.009610
650	0.008015
651	0.006863
652	0.008622
653	0.009590
654	0.009886
655	0.009636
656	0.009481
657	0.009913
658	0.008965
659	0.006965
660	0.007313
661	0.007500
662	0.006626
663	0.006558
664	0.006998
665	0.007702
666	0.008728
667	0.010406
668	0.010886
669	0.010677
670	0.007542
671	0.007220
672	0.011022
673	0.009865
674	0.007504
675	0.006824
676	0.007449
677	0.009340
678	0.007823
679	0.007025
680	0.009680
681	0.009574
682	0.007898
683	0.009722
684	0.010615
685	0.010068
686	0.008341
687	0.006969
688	0.009148
689	0.009812
690	0.009246
691	0.008667
692	0.008509
693	0.009183
694	0.007877
695	0.006461
696	0.009054
697	0.010290
698	0.010337
699	0.009156
700	0.007884
701	0.006600
702	0.008413
703	0.010694
704	0.010069
705	0.009731
706	0.009605
707	0.007290
708	0.007256
709	0.010539
710	0.010705
711	0.009968
712	0.008442
713	0.009406
714	0.011010
715	0.008223
716	0.008484
717	0.011355
718	0.009196
719	0.007840
720	0.007849
721	0.010295
722	0.010942
723	0.006073
724	0.007820
725	0.011112
726	0.010399
727	0.010715
728	0.011557
729	0.011404
730	0.011740
731	0.012506
732	0.011824
733	0.011543
734	0.011771
735	0.011150
736	0.010157
737	0.008682
738	0.009774
739	0.010623
740	0.009903
741	0.008560
742	0.007042
743	0.005506
744	0.006017
745	0.007431
746	0.009497
747	0.010593
748	0.011088
749	0.010761
750	0.011143
751	0.011973
752	0.013349
753	0.012876
754	0.011714
755	0.011806
756	0.013802
757	0.015564
758	0.011178
759	0.010222
760	0.011326
761	0.014123
762	0.013132
763	0.011029
764	0.011309
765	0.011257
766	0.010568
767	0.008255
768	0.009553
769	0.011393
770	0.011717
771	0.015047
772	0.016295
773	0.012216
774	0.012472
775	0.012820
776	0.012428
777	0.012268
778	0.013685
779	0.016662
780	0.018406
