Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_17:43:34
PPFD	0.898750
PFD	8.227141
PFD-UV	0.011784
PFD-B	0.046554
PFD-G	0.046925
PFD-R	0.805271
PFD-FR	7.316610
RFR(600~780nm)	8.121880
CHLB(430~480nm)	0.022505
Custom3(380~780nm)	8.227141
Custom4(380~780nm)	8.227141
UV%	0.143237
B%	0.565864
G%	0.570366
R%	9.787972
FR%	88.932564
RFR%	98.720558
CHLB%	0.273542
Custom3%	100.000000
Custom4%	100.000000
R:B	17.297403
R:FR	0.110061
R:G	17.160875
B:G	0.992107
UV:B	0.253131
UV:FR	0.001611
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	0.110061
BRAT(CHLB:PFD-B)	0.483406
Ratio3	0.000000
Ratio4	0.000000
LambdaP	726.000000
LambdaPV	42.041027
LambdaD	690.000000
LUX	9.660565
IRR	1.375292
fc	0.897822
I-Time	374.000000
380nm	0.210193
381nm	0.211829
382nm	0.204370
383nm	0.196036
384nm	0.198294
385nm	0.199735
386nm	0.195777
387nm	0.191591
388nm	0.186717
389nm	0.181923
390nm	0.177270
391nm	0.172770
392nm	0.168433
393nm	0.168854
394nm	0.172412
395nm	0.168958
396nm	0.162799
397nm	0.161772
398nm	0.161713
399nm	0.156953
400nm	0.152671
401nm	0.155832
402nm	0.160157
403nm	0.169037
404nm	0.174903
405nm	0.174528
406nm	0.172751
407nm	0.169247
408nm	0.167231
409nm	0.166329
410nm	0.163548
411nm	0.159945
412nm	0.157653
413nm	0.155649
414nm	0.154740
415nm	0.153861
416nm	0.152536
417nm	0.149519
418nm	0.139673
419nm	0.137244
420nm	0.150139
421nm	0.152121
422nm	0.141009
423nm	0.140606
424nm	0.147842
425nm	0.144241
426nm	0.136292
427nm	0.134792
428nm	0.134480
429nm	0.130990
430nm	0.128246
431nm	0.132279
432nm	0.135434
433nm	0.135838
434nm	0.132484
435nm	0.122895
436nm	0.118109
437nm	0.117912
438nm	0.125305
439nm	0.136877
440nm	0.134796
441nm	0.128841
442nm	0.130266
443nm	0.132223
444nm	0.131106
445nm	0.129514
446nm	0.125862
447nm	0.122981
448nm	0.121705
449nm	0.121833
450nm	0.123583
451nm	0.118341
452nm	0.108509
453nm	0.110518
454nm	0.116585
455nm	0.111298
456nm	0.104966
457nm	0.111608
458nm	0.117052
459nm	0.116819
460nm	0.118854
461nm	0.125716
462nm	0.126260
463nm	0.119570
464nm	0.114248
465nm	0.109786
466nm	0.112005
467nm	0.116303
468nm	0.110721
469nm	0.104178
470nm	0.097430
471nm	0.094901
472nm	0.107678
473nm	0.113460
474nm	0.107309
475nm	0.106607
476nm	0.110849
477nm	0.115451
478nm	0.120222
479nm	0.109781
480nm	0.096387
481nm	0.096657
482nm	0.098768
483nm	0.110565
484nm	0.116653
485nm	0.110430
486nm	0.109310
487nm	0.113736
488nm	0.108202
489nm	0.097131
490nm	0.095546
491nm	0.096219
492nm	0.089701
493nm	0.084716
494nm	0.090180
495nm	0.094835
496nm	0.097691
497nm	0.097295
498nm	0.093392
499nm	0.094702
500nm	0.098784
501nm	0.093291
502nm	0.085788
503nm	0.087446
504nm	0.089999
505nm	0.096721
506nm	0.098785
507nm	0.092355
508nm	0.092941
509nm	0.099670
510nm	0.100264
511nm	0.098395
512nm	0.102514
513nm	0.106840
514nm	0.105406
515nm	0.103027
516nm	0.098014
517nm	0.096857
518nm	0.100415
519nm	0.100650
520nm	0.098998
521nm	0.094973
522nm	0.090639
523nm	0.096270
524nm	0.100733
525nm	0.100825
526nm	0.100745
527nm	0.100413
528nm	0.096413
529nm	0.089973
530nm	0.095313
531nm	0.103637
532nm	0.096667
533nm	0.092183
534nm	0.098021
535nm	0.099506
536nm	0.094444
537nm	0.094851
538nm	0.098858
539nm	0.096533
540nm	0.092866
541nm	0.099292
542nm	0.103614
543nm	0.100656
544nm	0.099118
545nm	0.099426
546nm	0.099962
547nm	0.100623
548nm	0.100990
549nm	0.101309
550nm	0.101609
551nm	0.102715
552nm	0.105759
553nm	0.107323
554nm	0.107486
555nm	0.100984
556nm	0.092071
557nm	0.094034
558nm	0.096698
559nm	0.100325
560nm	0.102455
561nm	0.102414
562nm	0.102440
563nm	0.102504
564nm	0.097472
565nm	0.092306
566nm	0.093169
567nm	0.095290
568nm	0.099956
569nm	0.103253
570nm	0.105504
571nm	0.108087
572nm	0.110307
573nm	0.102592
574nm	0.096042
575nm	0.092432
576nm	0.096147
577nm	0.106456
578nm	0.109319
579nm	0.109908
580nm	0.107095
581nm	0.105804
582nm	0.108721
583nm	0.108971
584nm	0.106718
585nm	0.110035
586nm	0.114937
587nm	0.115456
588nm	0.115485
589nm	0.114239
590nm	0.113654
591nm	0.113642
592nm	0.113870
593nm	0.114139
594nm	0.114071
595nm	0.113258
596nm	0.110872
597nm	0.111217
598nm	0.113485
599nm	0.118608
600nm	0.122491
601nm	0.114208
602nm	0.110556
603nm	0.113968
604nm	0.115935
605nm	0.117188
606nm	0.116193
607nm	0.116025
608nm	0.119199
609nm	0.117747
610nm	0.111718
611nm	0.110569
612nm	0.111186
613nm	0.117626
614nm	0.119417
615nm	0.112720
616nm	0.114685
617nm	0.121482
618nm	0.119698
619nm	0.118916
620nm	0.123779
621nm	0.127401
622nm	0.129868
623nm	0.124871
624nm	0.118902
625nm	0.118666
626nm	0.120533
627nm	0.125386
628nm	0.129612
629nm	0.133394
630nm	0.127851
631nm	0.126956
632nm	0.135613
633nm	0.141413
634nm	0.145581
635nm	0.145304
636nm	0.147353
637nm	0.156508
638nm	0.160494
639nm	0.160779
640nm	0.168590
641nm	0.176053
642nm	0.179529
643nm	0.183864
644nm	0.188903
645nm	0.199206
646nm	0.209295
647nm	0.215659
648nm	0.223488
649nm	0.232588
650nm	0.250122
651nm	0.266836
652nm	0.275409
653nm	0.289350
654nm	0.307827
655nm	0.316423
656nm	0.328327
657nm	0.356235
658nm	0.386962
659nm	0.419827
660nm	0.440693
661nm	0.462852
662nm	0.491696
663nm	0.534382
664nm	0.585714
665nm	0.643734
666nm	0.697637
667nm	0.742552
668nm	0.804024
669nm	0.873233
670nm	0.943800
671nm	1.020047
672nm	1.104585
673nm	1.198867
674nm	1.296794
675nm	1.399431
676nm	1.515901
677nm	1.645716
678nm	1.800671
679nm	1.959562
680nm	2.120044
681nm	2.295610
682nm	2.480485
683nm	2.711361
684nm	2.952713
685nm	3.210205
686nm	3.501812
687nm	3.811035
688nm	4.160303
689nm	4.531370
690nm	4.920054
691nm	5.346618
692nm	5.803703
693nm	6.316179
694nm	6.858456
695nm	7.421767
696nm	8.052011
697nm	8.716846
698nm	9.411883
699nm	10.148978
700nm	10.907782
701nm	11.702748
702nm	12.548921
703nm	13.418459
704nm	14.321225
705nm	15.276897
706nm	16.271509
707nm	17.324480
708nm	18.415417
709nm	19.560246
710nm	20.787155
711nm	22.054544
712nm	23.391668
713nm	24.818207
714nm	26.297661
715nm	27.866350
716nm	29.493347
717nm	31.170063
718nm	32.910877
719nm	34.628864
720nm	36.311394
721nm	37.831036
722nm	39.235268
723nm	40.427742
724nm	41.269535
725nm	41.883705
726nm	42.041027
727nm	41.768646
728nm	41.187553
729nm	39.978886
730nm	38.463684
731nm	36.681175
732nm	34.434887
733nm	32.044670
734nm	29.483988
735nm	26.783951
736nm	24.097872
737nm	21.456894
738nm	18.973701
739nm	16.616749
740nm	14.471624
741nm	12.558245
742nm	10.795753
743nm	9.281196
744nm	7.997823
745nm	6.848047
746nm	5.883399
747nm	5.057103
748nm	4.327483
749nm	3.761948
750nm	3.261348
751nm	2.807070
752nm	2.428896
753nm	2.114682
754nm	1.842919
755nm	1.624194
756nm	1.435554
757nm	1.265556
758nm	1.112249
759nm	0.993130
760nm	0.892715
761nm	0.800903
762nm	0.729539
763nm	0.669069
764nm	0.615143
765nm	0.567233
766nm	0.526004
767nm	0.498626
768nm	0.460520
769nm	0.429532
770nm	0.424866
771nm	0.402468
772nm	0.376573
773nm	0.351799
774nm	0.342887
775nm	0.336562
776nm	0.330747
777nm	0.332903
778nm	0.331572
779nm	0.326321
780nm	0.322554
CCT	2173.000000
Duv	-0.044904
x	0.427480
y	0.299487
u'	0.297954
v'	0.469670
deltax	-0.080905
deltay	-0.115622
deltau'	0.005969
deltav'	-0.066759
Purity	24.594395
CRI	25.475677
R1	18.668516
R2	55.037205
R3	1.826410
R4	41.779911
R5	30.005367
R6	79.138603
R7	29.325384
R8	-51.975986
R9	-196.133072
R10	-20.704157
R11	76.428314
R12	18.819574
R13	24.508640
R14	0.981554
R15	-23.484970
