Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_17:26:51
PPFD	11.036916
PFD	11.165913
PFD-UV	0.017329
PFD-B	0.213299
PFD-G	10.659049
PFD-R	0.164567
PFD-FR	0.111669
RFR(600~780nm)	0.276235
CHLB(430~480nm)	0.042262
Custom3(380~780nm)	11.165913
Custom4(380~780nm)	11.165913
UV%	0.155199
B%	1.910268
G%	95.460617
R%	1.473831
FR%	1.000084
RFR%	2.473914
CHLB%	0.378487
Custom3%	100.000000
Custom4%	100.000000
R:B	0.771531
R:FR	1.473707
R:G	0.015439
B:G	0.020011
UV:B	0.081245
UV:FR	0.155186
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	1.473707
BRAT(CHLB:PFD-B)	0.198133
Ratio3	0.000000
Ratio4	0.000000
LambdaP	531.000000
LambdaPV	65.889183
LambdaD	538.000000
LUX	1390.729126
IRR	2.488393
fc	129.249924
I-Time	150.000000
380nm	0.307562
381nm	0.300091
382nm	0.278105
383nm	0.255186
384nm	0.280383
385nm	0.302538
386nm	0.304548
387nm	0.299842
388nm	0.274807
389nm	0.253707
390nm	0.239429
391nm	0.245392
392nm	0.272937
393nm	0.267686
394nm	0.240801
395nm	0.235997
396nm	0.239710
397nm	0.244072
398nm	0.248557
399nm	0.253786
400nm	0.258180
401nm	0.252920
402nm	0.247944
403nm	0.244076
404nm	0.245891
405nm	0.259468
406nm	0.254647
407nm	0.227191
408nm	0.224766
409nm	0.241097
410nm	0.262822
411nm	0.286907
412nm	0.288206
413nm	0.284514
414nm	0.272697
415nm	0.260188
416nm	0.244764
417nm	0.232390
418nm	0.232331
419nm	0.236230
420nm	0.248304
421nm	0.239226
422nm	0.204764
423nm	0.192207
424nm	0.195273
425nm	0.208710
426nm	0.226308
427nm	0.228593
428nm	0.228055
429nm	0.219263
430nm	0.210304
431nm	0.201638
432nm	0.195207
433nm	0.195785
434nm	0.197127
435nm	0.199735
436nm	0.200836
437nm	0.200495
438nm	0.208811
439nm	0.221892
440nm	0.224480
441nm	0.224091
442nm	0.210136
443nm	0.194701
444nm	0.175398
445nm	0.165763
446nm	0.198190
447nm	0.212965
448nm	0.191052
449nm	0.187115
450nm	0.203963
451nm	0.189099
452nm	0.153426
453nm	0.153450
454nm	0.165706
455nm	0.167091
456nm	0.168025
457nm	0.199105
458nm	0.218279
459nm	0.181067
460nm	0.159203
461nm	0.169992
462nm	0.182862
463nm	0.198115
464nm	0.203075
465nm	0.201561
466nm	0.210917
467nm	0.223655
468nm	0.229089
469nm	0.233725
470nm	0.236897
471nm	0.240759
472nm	0.247119
473nm	0.261385
474nm	0.289141
475nm	0.311774
476nm	0.329759
477nm	0.361624
478nm	0.400014
479nm	0.426338
480nm	0.450319
481nm	0.486550
482nm	0.528675
483nm	0.602485
484nm	0.680001
485nm	0.765508
486nm	0.855914
487nm	0.951646
488nm	1.064882
489nm	1.187850
490nm	1.362877
491nm	1.550299
492nm	1.757748
493nm	1.976049
494nm	2.256883
495nm	2.560049
496nm	2.912767
497nm	3.301842
498nm	3.730132
499nm	4.231484
500nm	4.771678
501nm	5.444378
502nm	6.145095
503nm	7.017560
504nm	7.927922
505nm	9.014791
506nm	10.189805
507nm	11.525517
508nm	13.028290
509nm	14.677335
510nm	16.548170
511nm	18.508049
512nm	20.797913
513nm	23.155708
514nm	25.857708
515nm	28.633638
516nm	31.616102
517nm	34.733551
518nm	38.015972
519nm	41.366112
520nm	44.754692
521nm	48.068989
522nm	51.361912
523nm	54.339138
524nm	57.206333
525nm	59.661636
526nm	61.824329
527nm	63.556980
528nm	64.770836
529nm	65.639755
530nm	65.848145
531nm	65.889183
532nm	65.079842
533nm	64.139816
534nm	62.679016
535nm	60.967915
536nm	58.880253
537nm	56.658352
538nm	54.348076
539nm	51.900833
540nm	49.421394
541nm	46.958904
542nm	44.526863
543nm	42.200169
544nm	39.959206
545nm	37.829796
546nm	35.827110
547nm	33.893665
548nm	32.102703
549nm	30.346001
550nm	28.724169
551nm	27.129477
552nm	25.599922
553nm	24.152548
554nm	22.783091
555nm	21.457571
556nm	20.147943
557nm	18.912899
558nm	17.698874
559nm	16.564451
560nm	15.477640
561nm	14.459888
562nm	13.501579
563nm	12.577258
564nm	11.762976
565nm	10.970820
566nm	10.225856
567nm	9.513771
568nm	8.868072
569nm	8.279899
570nm	7.735720
571nm	7.239573
572nm	6.758438
573nm	6.350808
574nm	5.948735
575nm	5.560704
576nm	5.196649
577nm	4.854179
578nm	4.545282
579nm	4.246788
580nm	3.972387
581nm	3.712944
582nm	3.494879
583nm	3.276672
584nm	3.058331
585nm	2.852647
586nm	2.651840
587nm	2.497874
588nm	2.340935
589nm	2.176273
590nm	2.023534
591nm	1.881124
592nm	1.767354
593nm	1.661672
594nm	1.568019
595nm	1.475173
596nm	1.384032
597nm	1.301038
598nm	1.223778
599nm	1.154102
600nm	1.086549
601nm	1.024878
602nm	0.967715
603nm	0.917431
604nm	0.870155
605nm	0.824363
606nm	0.758998
607nm	0.704559
608nm	0.692178
609nm	0.661984
610nm	0.614161
611nm	0.589618
612nm	0.570877
613nm	0.544002
614nm	0.521642
615nm	0.507521
616nm	0.486966
617nm	0.462819
618nm	0.442057
619nm	0.421522
620nm	0.400916
621nm	0.379711
622nm	0.357950
623nm	0.345298
624nm	0.335445
625nm	0.331268
626nm	0.327242
627nm	0.323428
628nm	0.312563
629nm	0.298329
630nm	0.256847
631nm	0.228040
632nm	0.225274
633nm	0.243536
634nm	0.273810
635nm	0.249438
636nm	0.230561
637nm	0.234993
638nm	0.237088
639nm	0.237509
640nm	0.237905
641nm	0.233895
642nm	0.214721
643nm	0.203383
644nm	0.198471
645nm	0.194813
646nm	0.196218
647nm	0.216604
648nm	0.214923
649nm	0.194120
650nm	0.196787
651nm	0.199933
652nm	0.191172
653nm	0.187509
654nm	0.188153
655nm	0.191305
656nm	0.194177
657nm	0.194921
658nm	0.202054
659nm	0.214035
660nm	0.191517
661nm	0.171302
662nm	0.166371
663nm	0.165844
664nm	0.168067
665nm	0.168834
666nm	0.171923
667nm	0.179928
668nm	0.182979
669nm	0.184182
670nm	0.195190
671nm	0.198920
672nm	0.192027
673nm	0.182732
674nm	0.177123
675nm	0.198699
676nm	0.209573
677nm	0.210122
678nm	0.213479
679nm	0.211313
680nm	0.191979
681nm	0.181347
682nm	0.176156
683nm	0.203344
684nm	0.221987
685nm	0.227468
686nm	0.219587
687nm	0.209938
688nm	0.210734
689nm	0.198185
690nm	0.174851
691nm	0.178692
692nm	0.194113
693nm	0.229077
694nm	0.223235
695nm	0.203455
696nm	0.189140
697nm	0.195216
698nm	0.219096
699nm	0.233650
700nm	0.228560
701nm	0.187070
702nm	0.203797
703nm	0.227365
704nm	0.187138
705nm	0.189100
706nm	0.222113
707nm	0.183760
708nm	0.163134
709nm	0.168838
710nm	0.170229
711nm	0.169390
712nm	0.164580
713nm	0.163315
714nm	0.165065
715nm	0.177859
716nm	0.191594
717nm	0.206132
718nm	0.194554
719nm	0.194596
720nm	0.212431
721nm	0.202862
722nm	0.197153
723nm	0.212977
724nm	0.211869
725nm	0.204603
726nm	0.197368
727nm	0.181159
728nm	0.161383
729nm	0.161583
730nm	0.164668
731nm	0.170270
732nm	0.172522
733nm	0.194499
734nm	0.240578
735nm	0.228495
736nm	0.212160
737nm	0.198009
738nm	0.204098
