Wavelength(nm)	PFD(umol m-2 s-1)
380	0.000977
381	0.000956
382	0.000888
383	0.000817
384	0.000900
385	0.000974
386	0.000983
387	0.000970
388	0.000891
389	0.000825
390	0.000781
391	0.000802
392	0.000894
393	0.000879
394	0.000793
395	0.000779
396	0.000794
397	0.000810
398	0.000827
399	0.000846
400	0.000863
401	0.000848
402	0.000833
403	0.000822
404	0.000830
405	0.000878
406	0.000864
407	0.000773
408	0.000767
409	0.000824
410	0.000901
411	0.000986
412	0.000993
413	0.000982
414	0.000944
415	0.000903
416	0.000851
417	0.000810
418	0.000812
419	0.000827
420	0.000872
421	0.000842
422	0.000722
423	0.000680
424	0.000692
425	0.000741
426	0.000806
427	0.000816
428	0.000816
429	0.000786
430	0.000756
431	0.000726
432	0.000705
433	0.000709
434	0.000715
435	0.000726
436	0.000732
437	0.000732
438	0.000765
439	0.000814
440	0.000826
441	0.000826
442	0.000776
443	0.000721
444	0.000651
445	0.000617
446	0.000739
447	0.000796
448	0.000715
449	0.000702
450	0.000767
451	0.000713
452	0.000580
453	0.000581
454	0.000629
455	0.000636
456	0.000640
457	0.000761
458	0.000836
459	0.000695
460	0.000612
461	0.000655
462	0.000706
463	0.000767
464	0.000788
465	0.000783
466	0.000822
467	0.000873
468	0.000896
469	0.000916
470	0.000931
471	0.000948
472	0.000975
473	0.001034
474	0.001146
475	0.001238
476	0.001312
477	0.001442
478	0.001598
479	0.001707
480	0.001807
481	0.001956
482	0.002130
483	0.002433
484	0.002751
485	0.003104
486	0.003477
487	0.003874
488	0.004344
489	0.004856
490	0.005582
491	0.006363
492	0.007229
493	0.008144
494	0.009320
495	0.010593
496	0.012077
497	0.013718
498	0.015528
499	0.017651
500	0.019944
501	0.022801
502	0.025787
503	0.029507
504	0.033401
505	0.038056
506	0.043101
507	0.048847
508	0.055325
509	0.062451
510	0.070549
511	0.079059
512	0.089015
513	0.099300
514	0.111103
515	0.123270
516	0.136374
517	0.150111
518	0.164615
519	0.179467
520	0.194542
521	0.209351
522	0.224122
523	0.237567
524	0.250581
525	0.261834
