Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_17:38:22
PPFD	12.511079
PFD	12.696076
PFD-UV	0.017493
PFD-B	0.077237
PFD-G	0.089100
PFD-R	12.344743
PFD-FR	0.167505
RFR(600~780nm)	12.512247
CHLB(430~480nm)	0.037904
Custom3(380~780nm)	12.696076
Custom4(380~780nm)	12.696076
UV%	0.137786
B%	0.608352
G%	0.701788
R%	97.232727
FR%	1.319345
RFR%	98.552078
CHLB%	0.298551
Custom3%	100.000000
Custom4%	100.000000
R:B	159.829620
R:FR	73.697746
R:G	138.549927
B:G	0.866860
UV:B	0.226490
UV:FR	0.104435
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	73.697746
BRAT(CHLB:PFD-B)	0.490754
Ratio3	0.000000
Ratio4	0.000000
LambdaP	656.000000
LambdaPV	94.434624
LambdaD	643.000000
LUX	176.530792
IRR	2.334532
fc	16.406208
I-Time	138.000000
380nm	0.299187
381nm	0.290575
382nm	0.291208
383nm	0.292865
384nm	0.292888
385nm	0.293042
386nm	0.294065
387nm	0.288606
388nm	0.263523
389nm	0.251404
390nm	0.261747
391nm	0.268772
392nm	0.272257
393nm	0.256284
394nm	0.227476
395nm	0.240808
396nm	0.270395
397nm	0.258014
398nm	0.237718
399nm	0.243867
400nm	0.251955
401nm	0.269858
402nm	0.283276
403nm	0.279165
404nm	0.273300
405nm	0.263803
406nm	0.266371
407nm	0.283784
408nm	0.274361
409nm	0.244830
410nm	0.254243
411nm	0.280691
412nm	0.263280
413nm	0.236262
414nm	0.221922
415nm	0.209749
416nm	0.216208
417nm	0.221737
418nm	0.223516
419nm	0.228708
420nm	0.240948
421nm	0.240602
422nm	0.225151
423nm	0.219874
424nm	0.221854
425nm	0.221795
426nm	0.220920
427nm	0.220346
428nm	0.219827
429nm	0.210252
430nm	0.200487
431nm	0.190993
432nm	0.188803
433nm	0.209501
434nm	0.223961
435nm	0.228073
436nm	0.229883
437nm	0.229493
438nm	0.225595
439nm	0.219766
440nm	0.201928
441nm	0.180682
442nm	0.183111
443nm	0.187456
444nm	0.185869
445nm	0.187616
446nm	0.203869
447nm	0.212846
448nm	0.206702
449nm	0.203316
450nm	0.203118
451nm	0.201812
452nm	0.199781
453nm	0.196369
454nm	0.192486
455nm	0.192045
456nm	0.191921
457nm	0.187864
458nm	0.184078
459nm	0.181579
460nm	0.183276
461nm	0.193900
462nm	0.199012
463nm	0.197814
464nm	0.183801
465nm	0.161728
466nm	0.182523
467nm	0.216659
468nm	0.223208
469nm	0.225935
470nm	0.211304
471nm	0.196919
472nm	0.183427
473nm	0.179561
474nm	0.192118
475nm	0.198767
476nm	0.200055
477nm	0.203424
478nm	0.207770
479nm	0.202116
480nm	0.194521
481nm	0.200520
482nm	0.204630
483nm	0.198187
484nm	0.191550
485nm	0.184496
486nm	0.182794
487nm	0.186912
488nm	0.179973
489nm	0.166887
490nm	0.169670
491nm	0.176233
492nm	0.159116
493nm	0.143210
494nm	0.138478
495nm	0.142887
496nm	0.167577
497nm	0.174823
498nm	0.163255
499nm	0.158663
500nm	0.157780
501nm	0.162191
502nm	0.167697
503nm	0.145925
504nm	0.134535
505nm	0.171505
506nm	0.188407
507nm	0.168722
508nm	0.161313
509nm	0.164653
510nm	0.155115
511nm	0.140408
512nm	0.157107
513nm	0.176138
514nm	0.179569
515nm	0.175661
516nm	0.151254
517nm	0.143615
518nm	0.156471
519nm	0.164468
