Wavelength(nm)	PFD(umol m-2 s-1)
380	0.001029
381	0.000998
382	0.001001
383	0.001008
384	0.000919
385	0.000855
386	0.000958
387	0.001015
388	0.000932
389	0.000892
390	0.000929
391	0.000914
392	0.000844
393	0.000808
394	0.000795
395	0.000804
396	0.000821
397	0.000840
398	0.000859
399	0.000802
400	0.000752
401	0.000816
402	0.000866
403	0.000858
404	0.000868
405	0.000917
406	0.000937
407	0.000919
408	0.000899
409	0.000878
410	0.000879
411	0.000890
412	0.000884
413	0.000875
414	0.000913
415	0.000946
416	0.000888
417	0.000843
418	0.000851
419	0.000847
420	0.000817
421	0.000808
422	0.000825
423	0.000796
424	0.000735
425	0.000770
426	0.000844
427	0.000855
428	0.000855
429	0.000748
430	0.000653
431	0.000695
432	0.000745
433	0.000826
434	0.000854
435	0.000795
436	0.000766
437	0.000766
438	0.000750
439	0.000725
440	0.000720
441	0.000722
442	0.000805
443	0.000887
444	0.000807
445	0.000740
446	0.000736
447	0.000726
448	0.000704
449	0.000693
450	0.000695
451	0.000691
452	0.000685
453	0.000670
454	0.000652
455	0.000651
456	0.000654
457	0.000718
458	0.000768
459	0.000755
460	0.000713
461	0.000610
462	0.000589
463	0.000661
464	0.000730
465	0.000798
466	0.000859
467	0.000917
468	0.000871
469	0.000814
470	0.000755
471	0.000714
472	0.000740
473	0.000747
474	0.000721
475	0.000709
476	0.000712
477	0.000727
478	0.000748
479	0.000727
480	0.000697
481	0.000725
482	0.000746
483	0.000726
484	0.000727
485	0.000775
486	0.000773
487	0.000718
488	0.000660
489	0.000601
490	0.000614
491	0.000645
492	0.000643
493	0.000650
494	0.000708
495	0.000737
496	0.000700
497	0.000690
498	0.000709
499	0.000666
500	0.000590
501	0.000598
502	0.000623
503	0.000602
504	0.000589
505	0.000609
506	0.000617
507	0.000600
508	0.000604
509	0.000625
510	0.000581
511	0.000511
512	0.000586
513	0.000673
514	0.000690
515	0.000695
516	0.000668
517	0.000678
518	0.000733
519	0.000719
520	0.000666
521	0.000653
522	0.000648
523	0.000628
524	0.000632
525	0.000730
526	0.000787
527	0.000786
528	0.000738
529	0.000660
530	0.000648
531	0.000653
532	0.000634
533	0.000629
534	0.000679
535	0.000730
536	0.000781
537	0.000751
538	0.000669
539	0.000723
540	0.000808
541	0.000730
542	0.000661
543	0.000623
544	0.000638
545	0.000723
546	0.000712
547	0.000648
548	0.000714
549	0.000795
550	0.000798
551	0.000785
552	0.000729
553	0.000704
554	0.000706
555	0.000767
556	0.000849
557	0.000859
558	0.000845
559	0.000732
560	0.000665
561	0.000666
562	0.000723
563	0.000813
564	0.000848
565	0.000874
566	0.000902
567	0.000918
568	0.000907
569	0.000890
570	0.000867
571	0.000872
572	0.000882
573	0.000834
574	0.000807
575	0.000835
576	0.000863
577	0.000891
578	0.000844
579	0.000777
580	0.000854
581	0.000937
582	0.001039
583	0.001092
584	0.001098
585	0.001091
586	0.001081
587	0.001177
588	0.001258
589	0.001299
590	0.001311
591	0.001299
592	0.001385
593	0.001495
594	0.001603
595	0.001717
596	0.001845
597	0.001949
598	0.002038
599	0.002265
600	0.002520
601	0.002809
602	0.003126
603	0.003486
604	0.003943
605	0.004450
606	0.004943
607	0.005461
608	0.006065
609	0.006738
610	0.007477
611	0.008448
612	0.009483
613	0.010477
614	0.011622
615	0.013037
616	0.014562
617	0.016152
618	0.018193
619	0.020301
620	0.022509
621	0.024954
622	0.027622
623	0.030664
624	0.033862
625	0.037561
626	0.041502
627	0.045780
628	0.050677
629	0.055846
630	0.061852
631	0.068280
632	0.075562
633	0.083752
634	0.092474
635	0.102824
636	0.113837
637	0.126400
638	0.140379
639	0.155388
