Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_17:53:48
PPFD	7.135653
PFD	58.745571
PFD-UV	51.007103
PFD-B	6.015911
PFD-G	0.554976
PFD-R	0.564767
PFD-FR	0.602815
RFR(600~780nm)	1.167583
CHLB(430~480nm)	0.409841
Custom3(380~780nm)	58.745571
Custom4(380~780nm)	58.745571
UV%	86.827148
B%	10.240621
G%	0.944711
R%	0.961379
FR%	1.026146
RFR%	1.987524
CHLB%	0.697654
Custom3%	100.000000
Custom4%	100.000000
R:B	0.093879
R:FR	0.936883
R:G	1.017644
B:G	10.839954
UV:B	8.478700
UV:FR	84.614838
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	0.936883
BRAT(CHLB:PFD-B)	0.068126
Ratio3	0.000000
Ratio4	0.000000
LambdaP	386.000000
LambdaPV	1159.583862
LambdaD	438.000000
LUX	89.529564
IRR	17.792833
fc	8.320591
I-Time	14.000000
380nm	677.383850
381nm	809.919373
382nm	924.194214
383nm	1035.665527
384nm	1097.329590
385nm	1151.910400
386nm	1159.583862
387nm	1153.905273
388nm	1107.809937
389nm	1046.958374
390nm	960.535522
391nm	867.162903
392nm	766.380554
393nm	671.269592
394nm	579.899597
395nm	503.751953
396nm	433.475830
397nm	378.023224
398nm	325.366180
399nm	284.062561
400nm	243.859924
401nm	210.866501
402nm	179.407379
403nm	153.945984
404nm	130.715927
405nm	112.105141
406nm	96.008026
407nm	83.003578
408nm	71.756516
409nm	61.826305
410nm	53.496689
411nm	45.867241
412nm	39.927071
413nm	34.356930
414nm	29.977222
415nm	25.752092
416nm	22.642139
417nm	19.677189
418nm	17.297564
419nm	15.136663
420nm	13.427620
421nm	11.919834
422nm	10.653575
423nm	9.593997
424nm	8.681823
425nm	7.967011
426nm	7.331391
427nm	6.804365
428nm	6.297352
429nm	5.618917
430nm	4.971587
431nm	4.614193
432nm	4.298258
433nm	4.112240
434nm	3.876450
435nm	3.558113
436nm	3.272573
437nm	3.018374
438nm	2.889300
439nm	2.829096
440nm	2.829055
441nm	2.846083
442nm	2.661879
443nm	2.457781
444nm	2.235581
445nm	2.069180
446nm	2.145547
447nm	2.150949
448nm	2.008846
449nm	2.000300
450nm	2.146175
451nm	2.082043
452nm	1.880104
453nm	1.900389
454nm	1.996825
455nm	1.807715
456nm	1.589785
457nm	1.616229
458nm	1.633498
459nm	1.607312
460nm	1.574234
461nm	1.526494
462nm	1.521204
463nm	1.564516
464nm	1.591289
465nm	1.607660
466nm	1.650537
467nm	1.701661
468nm	1.718235
469nm	1.717640
470nm	1.513372
471nm	1.355247
472nm	1.364539
473nm	1.420598
474nm	1.556444
475nm	1.646530
476nm	1.695097
477nm	1.701160
478nm	1.687243
479nm	1.509878
480nm	1.300790
481nm	1.341913
482nm	1.395743
483nm	1.512907
484nm	1.574771
485nm	1.517362
486nm	1.461215
487nm	1.406439
488nm	1.271227
489nm	1.091299
490nm	1.177808
491nm	1.327760
492nm	1.394172
493nm	1.438039
494nm	1.358792
495nm	1.312272
496nm	1.338369
497nm	1.316085
498nm	1.241612
499nm	1.396759
500nm	1.673982
501nm	1.452939
502nm	1.127338
503nm	1.293985
504nm	1.455353
505nm	1.592142
506nm	1.615263
507nm	1.431155
508nm	1.251408
509nm	1.075479
510nm	1.085399
511nm	1.169934
512nm	1.320786
513nm	1.451306
514nm	1.253358
515nm	1.107923
516nm	1.109184
517nm	1.195413
518nm	1.385487
519nm	1.453659
520nm	1.452628
521nm	1.424061
522nm	1.389920
523nm	1.365056
524nm	1.355590
525nm	1.403771
526nm	1.363267
527nm	1.192424
528nm	1.172268
529nm	1.252300
530nm	1.357078
531nm	1.468126
532nm	1.364661
533nm	1.254656
534nm	1.120862
535nm	1.089879
536nm	1.213570
537nm	1.269962
538nm	1.282052
539nm	1.285029
540nm	1.285386
541nm	1.256517
542nm	1.227550
543nm	1.198241
544nm	1.210770
545nm	1.277734
546nm	1.207577
547nm	1.062500
548nm	1.183007
549nm	1.333500
550nm	1.326701
551nm	1.284614
552nm	1.157837
553nm	1.169308
554nm	1.311861
555nm	1.278203
556nm	1.180809
557nm	1.218362
558nm	1.257897
559nm	1.279200
560nm	1.229479
561nm	1.076738
562nm	1.132492
563nm	1.307455
564nm	1.125663
565nm	0.913397
566nm	0.928901
567nm	0.959387
568nm	1.020120
569nm	1.004837
570nm	0.931421
571nm	0.966574
572nm	1.033664
573nm	1.222299
574nm	1.312601
575nm	1.154466
576nm	1.136478
577nm	1.244658
578nm	1.144917
579nm	0.986004
580nm	0.976666
581nm	0.992451
582nm	1.077740
583nm	1.108951
584nm	1.089411
585nm	1.310734
586nm	1.592397
587nm	1.320108
588nm	1.131903
589nm	1.162191
590nm	1.119082
591nm	1.012389
592nm	1.002495
593nm	1.028002
594nm	1.226490
595nm	1.313022
596nm	1.162985
597nm	0.991051
598nm	0.803702
599nm	0.936304
600nm	1.084752
601nm	0.960950
602nm	0.916369
603nm	0.992655
604nm	1.053487
605nm	1.106690
606nm	0.920403
607nm	0.822176
608nm	1.079441
609nm	1.137583
610nm	0.998681
611nm	1.141618
612nm	1.333031
613nm	1.128369
614nm	1.005553
615nm	1.032131
616nm	1.083289
617nm	1.148163
618nm	1.116444
619nm	1.071802
620nm	1.006828
621nm	1.002623
622nm	1.054935
623nm	0.916706
624nm	0.767580
625nm	0.874168
626nm	0.970791
627nm	1.053263
628nm	1.070138
629nm	1.062071
630nm	1.106133
631nm	1.124138
632nm	1.088611
633nm	0.922078
634nm	0.680700
635nm	0.657681
636nm	0.708411
637nm	0.931446
638nm	1.041743
639nm	1.071366
640nm	1.101050
641nm	1.121380
642nm	1.109476
643nm	1.089650
644nm	1.063330
645nm	0.876373
646nm	0.741998
647nm	0.900258
648nm	1.021002
649nm	1.109237
650nm	1.124964
651nm	1.117739
652nm	1.063705
653nm	1.072637
654nm	1.134763
655nm	1.054931
656nm	0.992462
657nm	1.055670
658nm	1.111003
659nm	1.160360
660nm	1.225561
661nm	1.243816
662nm	1.127347
663nm	1.123701
664nm	1.190505
665nm	1.016769
666nm	0.946490
667nm	1.106833
668nm	1.182470
669nm	1.210484
670nm	1.055523
671nm	1.042742
672nm	1.237499
673nm	1.234931
674nm	1.178365
675nm	1.148944
676nm	1.102875
677nm	1.040746
678nm	1.050736
679nm	1.078913
680nm	1.131710
681nm	1.006441
682nm	0.779582
683nm	0.698804
684nm	0.736930
685nm	0.958232
686nm	1.063637
687nm	1.110704
688nm	1.029372
689nm	0.995142
690nm	0.998981
691nm	1.182777
692nm	1.147432
693nm	0.662278
694nm	0.793211
695nm	1.102957
696nm	1.123721
697nm	1.125793
698nm	1.111544
699nm	1.197258
700nm	1.308471
701nm	1.455690
702nm	1.099801
703nm	0.698474
704nm	0.918975
705nm	0.982442
706nm	0.930340
707nm	1.280649
708nm	1.376782
709nm	1.102705
710nm	1.043541
711nm	1.061409
712nm	1.177024
713nm	1.151673
714nm	1.066188
715nm	1.030619
716nm	1.035711
717nm	1.075470
718nm	1.114914
719nm	1.161609
720nm	1.218775
721nm	0.966390
722nm	0.786155
723nm	0.919280
724nm	0.799709
725nm	0.719188
726nm	1.237692
727nm	1.285389
728nm	1.073278
729nm	1.074609
730nm	1.117271
731nm	1.195973
732nm	1.450555
733nm	1.451735
734nm	1.141809
735nm	1.333614
736nm	1.447304
737nm	1.352611
738nm	1.189167
739nm	1.113898
740nm	1.258388
741nm	1.213284
742nm	1.181106
743nm	1.329203
744nm	1.265734
745nm	1.132304
746nm	1.013532
747nm	1.279123
748nm	1.545207
749nm	1.130116
750nm	1.060269
751nm	1.157259
752nm	1.274063
753nm	1.216118
754nm	1.153154
755nm	1.517283
756nm	1.691494
757nm	1.712481
758nm	1.447981
759nm	1.487859
760nm	1.611963
761nm	1.432731
762nm	1.491776
763nm	1.549781
764nm	1.180237
765nm	1.095886
766nm	1.151427
767nm	1.297800
