Wavelength(nm)	PFD(umol m-2 s-1)
380	2.151745
381	2.579521
382	2.951202
383	3.315818
384	3.522416
385	3.707249
386	3.741639
387	3.732961
388	3.593100
389	3.404485
390	3.131485
391	2.834326
392	2.511325
393	2.205271
394	1.909947
395	1.663360
396	1.434936
397	1.254531
398	1.082500
399	0.947456
400	0.815404
401	0.706845
402	0.602891
403	0.518616
404	0.441451
405	0.379536
406	0.325841
407	0.282399
408	0.244734
409	0.211382
410	0.183351
411	0.157586
412	0.137511
413	0.118614
414	0.103744
415	0.089337
416	0.078738
417	0.068592
418	0.060441
419	0.053017
420	0.047143
421	0.041949
422	0.037582
423	0.033924
424	0.030772
425	0.028305
426	0.026108
427	0.024288
428	0.022531
429	0.020150
430	0.017870
431	0.016624
432	0.015522
433	0.014885
434	0.014064
435	0.012938
436	0.011927
437	0.011026
438	0.010579
439	0.010382
440	0.010406
441	0.010492
442	0.009835
443	0.009102
444	0.008297
445	0.007697
446	0.007999
447	0.008037
448	0.007523
449	0.007508
450	0.008073
451	0.007849
452	0.007104
453	0.007196
454	0.007578
455	0.006876
456	0.006060
457	0.006174
458	0.006254
459	0.006167
460	0.006053
461	0.005883
462	0.005875
463	0.006055
464	0.006172
465	0.006249
466	0.006430
467	0.006643
468	0.006722
469	0.006734
470	0.005946
471	0.005336
472	0.005384
473	0.005617
474	0.006167
475	0.006538
476	0.006745
477	0.006783
478	0.006742
479	0.006046
480	0.005219
481	0.005396
482	0.005624
483	0.006108
484	0.006371
485	0.006152
486	0.005936
487	0.005726
488	0.005186
489	0.004461
490	0.004824
491	0.005450
492	0.005734
493	0.005926
494	0.005611
495	0.005430
496	0.005549
497	0.005468
498	0.005169
499	0.005826
500	0.006997
501	0.006085
502	0.004731
503	0.005441
504	0.006132
505	0.006721
506	0.006832
507	0.006066
508	0.005314
509	0.004576
510	0.004627
511	0.004998
512	0.005653
513	0.006224
514	0.005385
515	0.004770
516	0.004784
517	0.005166
518	0.005999
519	0.006307
520	0.006314
521	0.006202
522	0.006065
523	0.005968
524	0.005938
525	0.006161
526	0.005994
527	0.005253
528	0.005174
529	0.005538
530	0.006012
531	0.006517
532	0.006069
533	0.005590
534	0.005003
535	0.004874
536	0.005438
537	0.005701
538	0.005766
539	0.005790
540	0.005802
541	0.005682
542	0.005562
543	0.005439
544	0.005506
545	0.005821
546	0.005512
547	0.004858
548	0.005419
549	0.006120
550	0.006100
551	0.005917
552	0.005343
553	0.005405
554	0.006075
555	0.005930
556	0.005488
557	0.005673
558	0.005867
559	0.005978
560	0.005755
561	0.005049
562	0.005320
563	0.006153
564	0.005307
565	0.004314
566	0.004395
567	0.004547
568	0.004844
569	0.004779
570	0.004438
571	0.004614
572	0.004943
573	0.005855
574	0.006298
575	0.005549
576	0.005472
577	0.006003
578	0.005532
579	0.004772
580	0.004735
581	0.004820
582	0.005243
583	0.005404
584	0.005318
585	0.006410
586	0.007800
587	0.006478
588	0.005564
589	0.005722
590	0.005519
591	0.005002
592	0.004961
593	0.005096
594	0.006090
595	0.006531
596	0.005794
597	0.004946
598	0.004018
599	0.004688
600	0.005441
601	0.004828
602	0.004611
603	0.005004
604	0.005319
605	0.005597
606	0.004663
607	0.004172
608	0.005486
609	0.005791
610	0.005092
611	0.005831
612	0.006820
613	0.005782
614	0.005161
615	0.005306
616	0.005578
617	0.005922
618	0.005768
619	0.005546
620	0.005218
621	0.005205
622	0.005485
623	0.004774
624	0.004004
625	0.004567
626	0.005080
627	0.005520
628	0.005618
629	0.005584
630	0.005825
631	0.005930
632	0.005751
633	0.004879
634	0.003608
635	0.003491
636	0.003766
637	0.004960
638	0.005556
639	0.005723
640	0.005891
641	0.006009
642	0.005954
643	0.005857
644	0.005724
645	0.004725
646	0.004007
647	0.004869
648	0.005531
649	0.006018
650	0.006113
