Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_16:57:38
PPFD	142.551010
PFD	146.685028
PFD-UV	0.116053
PFD-B	33.477596
PFD-G	68.676933
PFD-R	40.396477
PFD-FR	4.018015
RFR(600~780nm)	44.414478
CHLB(430~480nm)	26.179785
Custom3(380~780nm)	146.685028
Custom4(380~780nm)	146.685028
UV%	0.079117
B%	22.822767
G%	46.819302
R%	27.539593
FR%	2.739212
RFR%	30.278809
CHLB%	17.847618
Custom3%	100.000000
Custom4%	100.000000
R:B	1.206672
R:FR	10.053838
R:G	0.588210
B:G	0.487465
UV:B	0.003467
UV:FR	0.028883
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	10.053838
BRAT(CHLB:PFD-B)	0.782009
Ratio3	0.000000
Ratio4	0.000000
LambdaP	443.000000
LambdaPV	289.853729
LambdaD	582.000000
LUX	10333.815430
IRR	32.071819
fc	960.391785
I-Time	41.000000
380nm	1.886240
381nm	1.907301
382nm	1.873093
383nm	1.834489
384nm	1.921951
385nm	1.978144
386nm	1.827263
387nm	1.698914
388nm	1.638769
389nm	1.614811
390nm	1.653562
391nm	1.668841
392nm	1.659093
393nm	1.667742
394nm	1.688526
395nm	1.714451
396nm	1.742358
397nm	1.803803
398nm	1.871572
399nm	1.911247
400nm	1.970688
401nm	2.263044
402nm	2.563329
403nm	2.894607
404nm	3.270312
405nm	3.737991
406nm	4.320116
407nm	5.043047
408nm	5.950793
409nm	6.997022
410nm	8.352333
411nm	9.842852
412nm	11.778292
413nm	13.811191
414nm	16.496986
415nm	19.295015
416nm	23.059906
417nm	27.020191
418nm	31.769209
419nm	36.970070
420nm	43.104389
421nm	49.826866
422nm	57.255184
423nm	65.732811
424nm	74.958778
425nm	85.148849
426nm	95.725754
427nm	107.441780
428nm	119.367722
429nm	132.630966
430nm	146.021332
431nm	160.186478
432nm	174.523697
433nm	189.400192
434nm	204.167023
435nm	218.751984
436nm	232.908417
437nm	246.655334
438nm	258.963348
439nm	270.479431
440nm	278.686218
441nm	285.954132
442nm	288.295135
443nm	289.853729
444nm	285.352203
445nm	279.769714
446nm	269.484070
447nm	257.796051
448nm	243.193130
449nm	227.341766
450nm	210.046951
451nm	192.624390
452nm	175.117996
453nm	158.744904
454nm	142.760162
455nm	129.113693
456nm	115.853775
457nm	105.445595
458nm	95.419281
459nm	87.201309
460nm	79.514923
461nm	72.959503
462nm	66.929695
463nm	61.501667
464nm	56.557789
465nm	51.918434
466nm	47.871937
467nm	44.009933
468nm	40.888317
469nm	37.877445
470nm	35.452366
471nm	33.199059
472nm	31.569000
473nm	30.116497
474nm	28.966923
475nm	28.046146
476nm	27.332966
477nm	26.852207
478nm	26.480701
479nm	26.415651
480nm	26.410080
481nm	26.743370
482nm	27.128550
483nm	27.787577
484nm	28.550261
485nm	29.536518
486nm	30.659414
487nm	31.930897
488nm	33.419273
489nm	35.028233
490nm	36.925552
491nm	38.891537
492nm	41.092621
493nm	43.349022
494nm	45.902653
495nm	48.545296
496nm	51.385433
497nm	54.275600
498nm	57.219746
499nm	60.215931
500nm	63.239792
501nm	66.438721
502nm	69.674530
503nm	72.932381
504nm	76.207588
505nm	79.563629
506nm	82.937355
507nm	86.343361
508nm	89.638512
509nm	92.836601
510nm	95.949417
511nm	99.028000
512nm	102.141098
513nm	105.237000
514nm	108.084694
515nm	110.892906
516nm	113.590813
517nm	116.239006
518nm	118.826447
519nm	121.228386
520nm	123.525024
521nm	125.699814
522nm	127.845291
523nm	129.781891
524nm	131.705215
525nm	133.578812
526nm	135.361069
527nm	137.009109
528nm	138.602264
529nm	140.158920
530nm	141.591949
531nm	142.993652
532nm	144.260254
533nm	145.536148
534nm	146.851700
535nm	148.035995
536nm	149.022873
537nm	150.123840
538nm	151.299973
539nm	152.249557
540nm	153.144608
541nm	153.985016
542nm	154.830002
543nm	155.690750
544nm	156.518539
545nm	157.303467
546nm	157.982468
547nm	158.603592
548nm	159.273331
549nm	159.956665
550nm	160.709152
551nm	161.456131
552nm	162.189804
553nm	162.814133
554nm	163.334763
555nm	163.987198
556nm	164.687302
557nm	165.453293
558nm	166.195313
559nm	166.816132
560nm	167.444977
561nm	168.085449
562nm	168.729095
563nm	169.374542
564nm	170.013397
565nm	170.645004
566nm	171.219315
567nm	171.787155
568nm	172.341965
569nm	172.878296
570nm	173.400436
571nm	173.872040
572nm	174.323929
573nm	174.610901
574nm	174.874802
575nm	175.080368
576nm	175.298904
577nm	175.529099
578nm	175.557999
579nm	175.527603
580nm	175.528702
581nm	175.481934
582nm	175.302795
583nm	175.133682
584nm	174.973999
585nm	174.653076
586nm	174.285172
587nm	173.993790
588nm	173.604202
589nm	172.959381
590nm	172.264648
591nm	171.526611
592nm	170.654465
593nm	169.743927
594nm	168.768814
595nm	167.778839
596nm	166.757492
597nm	165.611160
598nm	164.376831
599nm	163.061066
600nm	161.731796
601nm	160.404938
602nm	159.016571
603nm	157.534317
604nm	155.970551
605nm	154.366562
606nm	152.768341
607nm	151.113480
608nm	149.259933
609nm	147.434128
610nm	145.635742
611nm	143.751053
612nm	141.835175
613nm	139.817444
614nm	137.823227
615nm	135.871933
616nm	133.904755
617nm	131.928696
618nm	129.776291
619nm	127.628815
620nm	125.543053
621nm	123.516792
622nm	121.545876
623nm	119.502197
624nm	117.437225
625nm	115.335236
626nm	113.212379
627nm	111.059906
628nm	108.956238
629nm	106.872757
630nm	104.827194
631nm	102.759636
632nm	100.646873
633nm	98.567276
634nm	96.506638
635nm	94.504440
636nm	92.497284
637nm	90.467812
638nm	88.464859
639nm	86.480865
640nm	84.499382
641nm	82.561539
642nm	80.773010
643nm	78.941124
644nm	77.073669
645nm	75.265007
646nm	73.491661
647nm	71.823181
648nm	70.159180
649nm	68.499039
650nm	66.825798
651nm	65.192612
652nm	63.723106
653nm	62.182037
654nm	60.580498
655nm	59.118717
656nm	57.668705
657nm	56.194778
658nm	54.824013
659nm	53.531513
660nm	52.163265
661nm	50.849205
662nm	49.705421
663nm	48.471596
664nm	47.181549
665nm	45.938393
666nm	44.716633
667nm	43.536179
668nm	42.306946
669nm	41.062298
670nm	39.975090
671nm	38.889404
672nm	37.805935
673nm	36.850803
674nm	35.933674
675nm	35.016720
676nm	34.119572
677nm	33.241524
678nm	32.293602
679nm	31.377966
680nm	30.583677
681nm	29.808485
682nm	29.044838
683nm	28.319492
684nm	27.549610
685nm	26.711117
686nm	26.045265
687nm	25.423065
688nm	24.771976
689nm	24.142212
690nm	23.529678
691nm	22.974749
692nm	22.401230
693nm	21.784672
694nm	21.193045
695nm	20.611626
696nm	20.037956
697nm	19.490702
698nm	18.966513
699nm	18.578175
700nm	18.146622
701nm	17.614973
702nm	17.172756
703nm	16.751755
704nm	16.287880
705nm	15.866878
706nm	15.477430
707nm	15.061371
708nm	14.669120
709nm	14.311414
710nm	14.028249
711nm	13.743525
712nm	13.409855
713nm	13.102434
714nm	12.796953
715nm	12.406369
716nm	12.058243
717nm	11.746309
718nm	11.445792
719nm	11.128234
720nm	10.785644
721nm	10.544403
722nm	10.328695
723nm	10.131114
724nm	9.921467
725nm	9.706586
726nm	9.487848
727nm	9.230865
728nm	8.962440
729nm	8.822327
730nm	8.673979
731nm	8.518451
732nm	8.320034
733nm	8.119720
734nm	7.917566
735nm	7.817475
736nm	7.668167
737nm	7.421445
738nm	7.249980
739nm	7.093998
740nm	6.941566
741nm	6.831992
742nm	6.733025
743nm	6.631311
744nm	6.467562
745nm	6.302230
746nm	6.207823
747nm	6.069898
748nm	5.925996
749nm	5.834113
750nm	5.841331
751nm	5.849705
752nm	5.637429
753nm	5.520550
754nm	5.484706
755nm	5.619292
756nm	5.406865
757nm	5.080545
758nm	5.074269
759nm	5.134827
760nm	5.172781
761nm	4.954388
762nm	4.802980
763nm	4.673651
764nm	4.512200
765nm	4.419745
766nm	4.358148
767nm	4.308974
768nm	4.244705
769nm	4.162492
770nm	4.047227
771nm	4.067796
