Wavelength(nm)	PFD(umol m-2 s-1)
380	0.000829
381	0.000873
382	0.000844
383	0.000806
384	0.000769
385	0.000735
386	0.000728
387	0.000720
388	0.000710
389	0.000696
390	0.000673
391	0.000669
392	0.000683
393	0.000681
394	0.000667
395	0.000671
396	0.000683
397	0.000722
398	0.000766
399	0.000784
400	0.000801
401	0.000823
402	0.000858
403	0.000943
404	0.001054
405	0.001217
406	0.001378
407	0.001538
408	0.001772
409	0.002063
410	0.002457
411	0.002898
412	0.003455
413	0.004038
414	0.004919
415	0.005846
416	0.007102
417	0.008435
418	0.010063
419	0.011907
420	0.014190
421	0.016734
422	0.019592
423	0.022947
424	0.026662
425	0.030873
426	0.035296
427	0.040436
428	0.045729
429	0.051712
430	0.057833
431	0.064755
432	0.071930
433	0.079836
434	0.088183
435	0.097242
436	0.106757
437	0.116713
438	0.126661
439	0.136624
440	0.145170
441	0.153338
442	0.158039
443	0.162190
444	0.161825
445	0.160532
446	0.155198
447	0.148543
448	0.139156
449	0.128726
450	0.117091
451	0.105231
452	0.093203
453	0.082453
454	0.072111
455	0.063977
456	0.056168
457	0.050673
458	0.045420
459	0.041404
460	0.037656
461	0.034502
462	0.031534
463	0.028782
464	0.026187
465	0.023687
466	0.021504
467	0.019413
468	0.017667
469	0.015978
470	0.014747
471	0.013605
472	0.012797
473	0.012088
474	0.011552
475	0.011126
476	0.010800
477	0.010568
478	0.010380
479	0.010273
480	0.010182
481	0.010263
482	0.010369
483	0.010609
484	0.010917
485	0.011370
486	0.011876
487	0.012440
488	0.013176
489	0.014009
490	0.015017
491	0.016069
492	0.017334
493	0.018624
494	0.020006
495	0.021450
496	0.023023
497	0.024666
498	0.026385
499	0.028170
500	0.029993
501	0.031934
502	0.033905
503	0.035905
504	0.037927
505	0.040021
506	0.042130
507	0.044260
508	0.046370
509	0.048464
510	0.050495
511	0.052506
512	0.054462
513	0.056405
514	0.058202
515	0.059996
516	0.061770
517	0.063500
518	0.065174
519	0.066726
520	0.068209
521	0.069658
522	0.071098
523	0.072298
524	0.073498
525	0.074692
526	0.075843
527	0.076929
528	0.077963
529	0.078964
530	0.079821
531	0.080644
532	0.081483
533	0.082314
534	0.083110
535	0.083835
536	0.084452
537	0.085086
538	0.085732
539	0.086343
540	0.086945
541	0.087425
542	0.087908
543	0.088396
544	0.088846
545	0.089247
546	0.089653
547	0.090062
548	0.090439
549	0.090817
550	0.091251
551	0.091668
552	0.092041
553	0.092422
554	0.092811
555	0.093166
556	0.093510
557	0.093899
558	0.094288
559	0.094659
560	0.095034
561	0.095414
562	0.095805
563	0.096202
564	0.096538
565	0.096867
566	0.097217
567	0.097549
568	0.097844
569	0.098137
570	0.098428
571	0.098741
572	0.099053
573	0.099250
574	0.099440
575	0.099615
576	0.099738
577	0.099814
578	0.099870
579	0.099921
580	0.099998
581	0.100033
582	0.099948
583	0.099896
584	0.099874
585	0.099780
586	0.099661
587	0.099473
588	0.099259
589	0.098984
590	0.098672
591	0.098329
592	0.097873
593	0.097386
594	0.096888
595	0.096391
596	0.095896
597	0.095340
598	0.094741
599	0.094127
600	0.093493
601	0.092746
602	0.091977
603	0.091176
604	0.090386
605	0.089600
606	0.088705
607	0.087810
608	0.086944
609	0.085999
610	0.084974
611	0.083971
612	0.082968
613	0.081914
614	0.080841
615	0.079737
616	0.078655
617	0.077585
618	0.076460
619	0.075325
620	0.074172
621	0.073033
622	0.071906
623	0.070832
624	0.069752
625	0.068557
626	0.067380
627	0.066232
628	0.065119
629	0.064014
630	0.062740
631	0.061496
632	0.060317
633	0.059211
634	0.058144
635	0.057032
636	0.055907
637	0.054759
638	0.053576
639	0.052366
640	0.051303
641	0.050256
642	0.049220
643	0.048182
644	0.047143
645	0.046147
646	0.045162
647	0.044204
648	0.043243
649	0.042280
650	0.041320
651	0.040369
652	0.039462
653	0.038551
654	0.037637
655	0.036776
656	0.035933
657	0.035128
658	0.034337
659	0.033556
660	0.032755
661	0.031957
662	0.031176
663	0.030446
664	0.029746
665	0.029004
666	0.028272
667	0.027568
668	0.026959
669	0.026383
670	0.025621
671	0.024935
672	0.024361
673	0.023776
674	0.023184
675	0.022573
676	0.022013
677	0.021503
678	0.020959
679	0.020416
680	0.019892
681	0.019412
682	0.018954
683	0.018442
684	0.017947
685	0.017479
686	0.017112
687	0.016764
688	0.016369
689	0.015979
690	0.015592
691	0.015267
692	0.014921
693	0.014527
694	0.014175
695	0.013837
696	0.013494
697	0.013143
698	0.012783
699	0.012525
700	0.012267
701	0.011995
702	0.011736
703	0.011467
704	0.011117
705	0.010840
706	0.010615
707	0.010367
708	0.010098
709	0.009800
710	0.009634
711	0.009489
712	0.009327
713	0.009048
714	0.008726
715	0.008507
716	0.008344
717	0.008228
718	0.008032
719	0.007858
720	0.007718
721	0.007581
722	0.007421
723	0.007206
724	0.006987
725	0.006805
726	0.006801
727	0.006632
728	0.006381
729	0.006301
730	0.006175
731	0.006007
732	0.005858
733	0.005771
734	0.005761
735	0.005607
736	0.005493
